stage,axial,blastomeres,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,periderm,pgc,pronephros,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,12.76,0.98,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,0,9.56,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,6.56,0,0,1.09,0,1.09,0,1.09,0,0
108-118,0,0,0,6.13,1.53,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0
