stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,0,0,7.89,0,0,0,0,0,47.32,0,23.66,0,0,0,0,0
 10-12,0,12.59,6.29,0,3.15,0,0,0,0,0,50.35,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,6,1,1,0,1,1,4,1
 24-34,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,1.61,0,0,4.03,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,1.15,0.57,0,0.57,0,0.57,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,3.93,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0,0
