stage,blastomeres,endocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6,1,1,0,1,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,15.6,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0.81,0,0,0.81,0.81,0.81,0.81,19.34,0,0,0.81,0,5.64,0,0,0,0
 48-58,0,0,2.3,0,0.57,1.15,0,2.87,0,12.05,0,0,0,0,6.31,0,0,0,0
 60-70,0,0,8.83,0,0,0,0,3.93,0,9.82,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,13.74,0,0,2.94,0,2.94,0.98,18.65,0.98,0,0,0,2.94,0,0,0.98,0.98
 84-94,0,0,7.43,0,0,1.06,0,2.12,1.06,12.74,0,0,0,0,0,1.06,1.06,1.06,1.06
 96-106,0,0,2.19,1.09,0,0,0,2.19,1.09,12.02,0,0,0,0,0,0,1.09,0,0
108-118,0,0,3.83,0,0,0.77,0,4.6,0,12.26,0,0,0,0,0,0,0.77,0,1.53
120,0,0,3.92,0,0,5.88,0,3.92,0,7.84,0,0,0,0,0,0,0,0,0
