stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,xanthophores
  3-4,1897.62,30730.94,0,0,0,0,0,0,0,0,0,0,0,0,1423.22,0,0,0,0
  5-6,2280.22,27007.17,30.65,0,0,0,0,0,79.69,0,0,735.56,73.56,220.67,668.13,0,0,0,0
  7-9,149.84,115.66,202.41,0,212.93,0,0,0,139.32,0,0,4568.7,126.18,1487.85,26.29,21.03,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,2.3,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,5.89,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0.98,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,1.09,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0.77,0,0,0.77,4.6,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
