stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,126.18,2.63,0,0,52.57,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,44.06,3.15,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,0,4,0,0,3,1,0,0,0,0,7,0,3,68,0,0,2,1,4,11,0,0,6,29,2,0
 24-34,0,0,0,1.64,2.46,2.46,6.57,0,0,1.64,0,0,0.82,0,0,4.93,0,4.93,54.18,0,0,0,0,0.82,0,0.82,0,0,16.42,1.64,0
 36-46,0,0,0,0,3.22,0,4.03,0,0,0,0,0,0,0,0,3.22,0,0.81,19.34,0,0.81,0,0,3.22,0,0,0.81,0,4.03,0,0
 48-58,0,0,0,0,1.15,0,6.89,0.57,0,2.87,0,0,0,0,0,1.72,0,0.57,16.07,0,0.57,0,0,0.57,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,0,0,4.91,0,0,2.94,0,0,0.98,0,0,1.96,0,0.98,16.69,0,0,0.98,0,2.94,0,0,0,0,4.91,0,0
 72-82,0,0,1.96,0,0,0,7.85,0.98,0,4.91,0,0,0,0,0,8.83,0,0,12.76,0,0,1.96,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,1.06,0,1.06,0,5.31,0,0,2.12,0,0,1.06,0,1.06,1.06,1.06,0,7.43,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,4.37,3.28,0,1.09,0,0,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0.77,0,0.77,0,0.77,2.3,0,0,0,1.53,0,2.3,0,0,6.89,0,0,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,0,5.88,0,3.92,3.92,0,1.96,0,0,0,1.96,0,5.88,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
