stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,12.59,0,0,37.76,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,4,40,3,0,6,2,0,1,5,0,0,0,0,0,0,0,10,0,0,7,91,2,2,2,0,0,3,0,4,2,4,41,0,0,2,0,0
 24-34,0,0,0.82,0.82,24.63,0,0,27.09,4.93,0,4.93,1.64,0,0.82,2.46,0,0,0,0.82,34.48,0,0,10.67,300.43,4.1,5.75,1.64,0,0,9.85,0,0.82,0,0.82,68.13,0,0,7.39,0,3.28
 36-46,0,0,0,0,6.45,0,0,55.59,3.22,0.81,8.06,0.81,0,2.42,0,1.61,0,0,0.81,29,0,1.61,7.25,289.24,0.81,10.47,2.42,0,0,7.25,0,0,0,0,63.65,0,0,5.64,0,3.22
 48-58,0,0,0.57,0,12.05,0,0,77.46,1.72,0.57,19.51,0,0,1.72,0,0,1.72,0,1.72,32.13,0,1.15,8.03,179.6,1.15,6.31,2.87,0,0,8.61,0,0,0,0,43.61,0,0,6.31,0,1.15
 60-70,0,0,0,0,15.7,0.98,0,110.91,2.94,0.98,22.58,0.98,0,2.94,1.96,1.96,1.96,0,0,39.26,0,1.96,1.96,164.9,0,4.91,1.96,0,0,8.83,0,0,0,0,31.41,0,0,9.82,0,0
 72-82,0,0,1.96,0,9.82,0,0,142.34,1.96,0.98,29.45,7.85,0.98,3.93,1.96,0,1.96,0.98,0.98,62.83,0.98,5.89,6.87,167.86,0,7.85,0,0,0,2.94,0,0,0,0,22.58,1.96,0.98,16.69,3.93,0.98
 84-94,0,0,0,0,18.05,0,0,126.38,4.25,1.06,13.81,4.25,0,9.56,4.25,0,1.06,2.12,0,47.79,0,3.19,4.25,78.59,1.06,5.31,3.19,0,1.06,14.87,0,0,0,0,13.81,5.31,0,7.43,1.06,2.12
 96-106,0,0,2.19,0,12.02,2.19,1.09,86.33,1.09,0,19.67,6.56,0,12.02,3.28,1.09,1.09,0,0,34.97,0,2.19,3.28,73.22,1.09,9.84,2.19,0,0,16.39,0,0,1.09,0,3.28,2.19,1.09,8.74,1.09,0
108-118,0,0,3.06,0,8.43,1.53,0,45.96,3.06,0,12.26,6.13,0,9.19,1.53,2.3,1.53,0.77,0,22.21,0.77,2.3,0.77,85.79,0,6.89,3.83,0,0.77,9.96,0,0,0.77,0,4.6,2.3,0.77,7.66,0.77,1.53
120,0,0,0,0,15.68,1.96,0,58.79,1.96,5.88,7.84,7.84,0,11.76,0,0,0,1.96,0,13.72,0,0,1.96,90.15,0,7.84,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0
