stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,0,0,0,0,0,0,47.32,0,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,37.76,0,0,9.44,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,15,0,0,0,0,14,1,1,1,0,1,7,1,29
 24-34,0,0,0,0.82,0,0,0.82,15.6,0,0,0.82,0.82,11.49,3.28,0,0,0.82,0,4.93,0,16.42
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0,9.67,10.47,0.81,0,0.81,0,1.61,0,13.7
 48-58,0,0,0,0,2.3,0.57,0,5.16,0,0,1.15,0,6.89,2.87,0,0,0,0,1.72,0,6.31
 60-70,0,0,0,0,0.98,0,0,3.93,0,0,0,0,1.96,13.74,0,0,0,0,0,0,8.83
 72-82,0,0.98,0,0,0.98,0,0,6.87,0,0,1.96,0,3.93,7.85,0,0,0,0,0.98,0,2.94
 84-94,0,0,0,0,2.12,0,0,7.43,0,0,1.06,0,2.12,6.37,2.12,0,2.12,0,2.12,0,2.12
 96-106,0,0,0,1.09,1.09,0,0,3.28,0,0,3.28,0,2.19,12.02,3.28,0,0,0,1.09,0,3.28
108-118,0,0,0.77,0.77,3.83,0,0,3.06,0.77,0,1.53,0,5.36,8.43,1.53,0,0.77,0,0,0,4.6
120,0,1.96,0,1.96,0,0,0,5.88,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,1.96
