stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,7.89,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,103.85,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,137.08,0,0,2.46,0,0,0.82,24.63,0,0,0,0,0
 36-46,0,0,0.81,0,11.28,0,0,0,8.86,0,0,0,0,0.81,0.81,0,357.72,0,0,0,0,0,0,34.64,0,0,0,0,0
 48-58,0,0,0.57,0,33.28,0,0,0,30.99,0.57,0,0.57,0,0,3.44,0,623.15,0,0,1.15,0,0,0,63.12,0,0,0,0,0
 60-70,0,0,1.96,0,91.28,0,0,0,50.06,0,0,0.98,0,0.98,1.96,0,816.63,0,0,0.98,0,0,0,90.3,0,0,0,0,0
 72-82,0,0,3.93,0.98,121.73,0,0.98,0,58.9,0.98,0,0,0,3.93,20.61,0,794.16,0,0,3.93,0,0.98,0,65.77,0.98,0,1.96,0,0.98
 84-94,0,0,2.12,0,88.15,0,0,0,23.36,0,1.06,0,1.06,0,3.19,0,346.22,0,1.06,1.06,0,1.06,0,30.8,0,1.06,2.12,0,1.06
 96-106,0,0,8.74,3.28,77.59,1.09,1.09,0,37.16,0,0,0,0,5.46,9.84,0,304.9,0,0,3.28,0,4.37,0,12.02,0,0,0,0,0
108-118,0,0,6.13,0,52.85,0,0.77,0.77,36.77,0,0,0,0,0,4.6,0.77,383.75,0,0.77,7.66,0,3.06,0,13.02,0,0,0,0,0
120,0,0,7.84,0,76.43,0,0,0,33.32,0,0,0,0,1.96,11.76,0,329.24,0,0,3.92,0,0,0,19.6,0,0,0,1.96,0
