stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,15,0,0,0,0,0,60,0,0,1,0,0,0,1,0,4,0,0,0,0,0,2,0,1,0,4,0,9,0,0
 24-34,0,0,0.82,4.1,0,0,1.64,0,0,0,50.07,0,0,4.93,0,0,0.82,14.78,0.82,19.7,2.46,2.46,0,0,0,7.39,0,17.24,0.82,3.28,0,12.31,0,0
 36-46,0,0,0,2.42,0,0,0,0.81,0,0,16.92,0,0,3.22,1.61,0,0,24.17,0,45.12,2.42,0.81,0.81,0,0,9.67,0.81,13.7,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,1.15,0,1.72,0,0,2.3,35.58,0,0,1.72,1.72,0,0,24.1,0,25.82,2.3,1.72,0.57,0,0,10.33,0,5.74,0,0.57,0,0,0,0
 60-70,0,0.98,0,3.93,0,0,3.93,0,0,12.76,15.7,0,0,1.96,1.96,0,0.98,25.52,0,18.65,0.98,1.96,0,0,0,16.69,0,5.89,0,0,0,0,0,0
 72-82,0,4.91,0,21.6,0,0,12.76,0.98,1.96,59.88,11.78,0.98,0,4.91,5.89,0.98,8.83,45.16,0.98,23.56,1.96,1.96,0.98,0,0,17.67,0,11.78,0,0.98,4.91,0,0.98,0.98
 84-94,0,1.06,0,28.68,1.06,0,3.19,0,0,128.51,16.99,0,0,1.06,15.93,1.06,4.25,38.23,1.06,21.24,2.12,3.19,1.06,0,0,69.03,0,20.18,0,0,44.61,0,0,0
 96-106,0,3.28,5.46,77.59,2.19,1.09,4.37,1.09,2.19,165.02,2.19,0,0,9.84,31.69,2.19,8.74,41.53,1.09,37.16,0,6.56,6.56,0,1.09,57.92,0,27.32,0,1.09,71.04,2.19,0,1.09
108-118,0,2.3,8.43,69.7,0,0,2.3,1.53,2.3,174.64,0,0,2.3,15.32,34.47,2.3,7.66,22.98,0,39.83,1.53,3.83,2.3,0,0.77,62.81,0,13.02,0,0,103.41,0,0,0.77
120,0,1.96,1.96,50.95,0,0,0,3.92,1.96,111.71,0,0,0,3.92,31.36,0,11.76,15.68,0,47.03,0,3.92,5.88,0,0,90.15,0,11.76,0,0,41.16,0,0,0
