stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,467.91,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,318.07,0,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,289.52,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,632.54,6.29,0,0,138.47,0,0,0,0,3.15,0,0,9.44,0,0,0,0
 14-21,0,0,1,20,1,7,3,0,62,0,0,0,0,0,18,0,0,7,285,2,1,1,6,0,0,0,2,0,34,17,368,0,0,0,0
 24-34,0,0,0,9.03,0.82,12.31,17.24,0,82.91,0.82,0,0.82,0,1.64,27.09,0,0,9.03,232.3,0.82,10.67,4.1,0,0,0,0,0,4.93,4.93,0.82,295.51,0,0.82,0,0
 36-46,0,0,0,6.45,0,7.25,4.03,1.61,59.62,0,0,0.81,0,6.45,22.56,0,0,2.42,108.77,0,17.72,10.47,0,0,0.81,0,0,2.42,1.61,0,157.11,0,0,0,0
 48-58,0,0,0,2.3,0,13.77,0.57,1.15,44.18,0,0,0,0,9.75,23.53,0,0.57,1.72,48.2,0,15.49,4.02,0,0.57,1.15,0,0,1.72,0,0,96.4,0,1.15,0,0
 60-70,0,0,0,0,0,7.85,0.98,0.98,70.67,0,0,0.98,0,6.87,36.32,0,0.98,0.98,52.02,0,17.67,3.93,0,0,0,0,0,0.98,0,0,66.74,0,0.98,0,0.98
 72-82,0,0,0,2.94,0,9.82,0,1.96,70.68,0,0,0.98,0,1.96,38.28,0,0.98,2.94,45.16,0,24.54,6.87,0,0,1.96,0,0,0.98,0,0,30.43,0.98,0,0,0.98
 84-94,0,0,0,4.25,0,15.93,1.06,0,56.29,0,0,2.12,0,5.31,15.93,0,0,2.12,30.8,0,39.3,9.56,0,0,3.19,1.06,0,5.31,0,0,33.99,0,1.06,0,0
 96-106,0,0,0,6.56,1.09,15.3,1.09,3.28,56.83,3.28,0,1.09,1.09,3.28,18.58,0,0,0,21.86,0,49.18,8.74,0,0,1.09,0,0,4.37,0,0,25.14,1.09,1.09,1.09,0
108-118,0,0,0,6.89,0,5.36,2.3,2.3,40.6,0.77,0,0,0.77,0.77,12.26,0.77,0.77,0.77,26.04,0,31.4,9.19,0,0,6.89,0,0,5.36,0,0,21.45,0.77,3.83,0,0
120,0,0,0,21.56,0,7.84,1.96,0,27.44,1.96,0,0,0,0,5.88,0,0,1.96,25.48,0,19.6,7.84,0,0,7.84,0,0,3.92,0,0,9.8,0,0,0,0
