stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,27,0,0,0,2,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0.82,0,0,0,0,0,50.07,3.28,0,0,0.82,13.95,0,0.82,0,0,0,4.1,41.86,0,0.82,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,1.61,0,0,0,2.42,0,0,0,0,0,31.42,2.42,0,0,0,11.28,0,0,0,0,0,0.81,50.76,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,3.44,0,0,1.15,6.31,0,0,0,0,0,35.58,4.59,0,0,0,9.75,0,0,0,0,0,0,33.28,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,0,0,6.87,0,0,0,6.87,0,0,0.98,1.96,0,55.95,6.87,0,0,1.96,11.78,0,0.98,0,0,0.98,0,40.24,0,0.98,0,0,0,0,0
 72-82,0,0.98,1.96,4.91,1.96,22.58,0,0.98,5.89,4.91,0,0,0,0,0,179.64,18.65,0.98,0,0,59.88,0,0,0.98,0,0.98,1.96,74.61,0,0.98,0.98,0,2.94,0,2.94
 84-94,0,1.06,4.25,4.25,5.31,12.74,1.06,1.06,3.19,8.5,0,1.06,0,0,0,523.58,10.62,0,1.06,1.06,50.98,0,0,1.06,0,0,6.37,152.93,0,1.06,1.06,0,0,2.12,2.12
 96-106,0,2.19,9.84,14.21,6.56,44.81,1.09,4.37,14.21,6.56,1.09,4.37,3.28,2.19,3.28,795.59,37.16,0,1.09,2.19,186.88,1.09,1.09,2.19,0,0,19.67,161.74,1.09,2.19,5.46,2.19,8.74,7.65,2.19
108-118,0,0,5.36,4.6,6.89,29.87,0.77,1.53,6.89,3.83,0,5.36,0,2.3,0.77,1534.99,30.64,0,0,3.06,156.26,0.77,0.77,1.53,0,2.3,5.36,149.36,2.3,1.53,0,0.77,4.6,0,2.3
120,0,0,9.8,1.96,1.96,25.48,0,0,11.76,1.96,0,5.88,0,0,0,823.11,17.64,0,0,1.96,94.07,0,0,0,0,0,1.96,99.95,0,1.96,0,1.96,1.96,3.92,0
