stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,26.29,2.63,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,6.29,0,3.15,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,264.35,18.88,0,0,173.08,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,2,20,4,0,20,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,4,405,19,0,0,12,2,0,6,0,1,5,83,0,0,0
 24-34,0,0,0.82,6.57,0,0,68.13,0,0,0,7.39,0.82,0,0.82,0,9.85,0,0,1.64,0,18.06,0,0,7.39,636.16,1.64,0.82,4.1,0,32.83,0,0,0.82,0,0,96.04,0,0,0
 36-46,0,0,0,0.81,0,0,249.76,0,0,0,20.14,0,0,0.81,0,8.06,0,0,0,0,16.92,0,0,2.42,389.14,0,2.42,1.61,0,29,1.61,0,0,0,0,79.76,0,0.81,0
 48-58,0,0,0,2.3,0,0,259.93,0,0.57,0.57,14.35,0,0,0,0,3.44,0,0,0.57,0.57,20.08,1.15,0.57,2.3,121.07,0,0,2.3,0,39.02,0,0,0,0,0,32.71,0,0.57,0
 60-70,0,0,0,1.96,0,0,206.12,0,0.98,0,47.11,0.98,0,0,0,6.87,0,0.98,0,0,9.82,2.94,0,0,50.06,0,0,2.94,0,63.8,0,0,0.98,0,0,4.91,0,0,0.98
 72-82,0,0,0,4.91,0,0,97.18,0.98,0,0,53.01,0.98,0,0,0,10.8,0,0.98,0,0,3.93,0.98,0,1.96,38.28,0,0,7.85,0,95.22,0,0,0,0,0,4.91,0,0,0.98
 84-94,0,1.06,0,6.37,0,0,66.91,0,2.12,0,39.3,2.12,1.06,0,2.12,24.43,0,3.19,0,0,5.31,6.37,0,0,30.8,0,2.12,3.19,0,272.94,0,0,1.06,0,0,2.12,1.06,0,0
 96-106,0,0,0,8.74,0,0,66.66,0,2.19,0,52.46,4.37,0,0,3.28,40.44,1.09,4.37,0,0,3.28,2.19,0,0,25.14,0,0,1.09,0,213.11,0,0,1.09,0,0,1.09,0,0,1.09
108-118,0,0.77,0,9.96,1.53,0.77,65.11,0,3.06,0,39.83,9.19,0,0,3.83,24.51,0.77,3.06,0.77,0,7.66,3.83,0.77,0.77,33.7,0,0.77,3.83,0,142.47,0,0,0,0,0,0,2.3,0.77,0
120,0,0,0,7.84,0,0,64.67,0,0,0,23.52,5.88,0,0,0,15.68,0,5.88,0,0,1.96,3.92,0,1.96,21.56,0,0,3.92,0,150.9,0,0,0,0,0,0,0,0,0
