stage,endoderm,epidermis,eye,fast_muscle,glial,liver,melanocytes,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,0.82,0
 36-46,0.81,0,0,0,0,0,0,0,0.81,3.22,0,0,0,0.81,0
 48-58,0,0,0.57,0.57,0.57,0,0.57,1.15,1.15,5.16,0.57,0,0,0.57,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,1.96,0,0,0,4.91,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,1.06
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,5.46,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0,1.53,0.77,2.3,0,0,0,0,0
120,0,1.96,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0
