stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,4.93,0,0,0,0,0.82,0,2.46,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0.81,8.06,0,0,0,0,0,0,2.42,0,2.42,0,0
 48-58,0,0,0.57,0,1.72,0,0.57,0,1.72,0,0.57,0.57,0,5.16,0,0.57,10.9,0,0,0,0,1.72,0,2.87,0,0.57,0,0
 60-70,0,0,1.96,0,2.94,0,0,0,0.98,0,0,0,0,3.93,0,0,13.74,0,0.98,0,0,0.98,0.98,0,0,2.94,0,0
 72-82,0,0,0.98,0,2.94,0.98,0,0,3.93,0,0,0,0,9.82,2.94,0,19.63,0,0,0,0,2.94,0,0.98,2.94,5.89,0.98,0
 84-94,0,0,1.06,0,6.37,0,0,0,0,0,0,0,1.06,8.5,2.12,0,7.43,0,1.06,0,0,9.56,0,1.06,1.06,5.31,0,0
 96-106,0,0,0,0,3.28,0,0,0,0,0,0,0,0,3.28,1.09,1.09,6.56,0,1.09,0,3.28,1.09,0,1.09,0,3.28,0,0
108-118,0,0,0,0.77,3.83,0,0,0.77,0,0,0,0,0,5.36,0,0.77,9.96,0,0,0,0.77,0.77,0,0,0,3.06,0,0.77
120,0,0,0,0,7.84,0,1.96,0,0,0,1.96,0,0,5.88,1.96,1.96,11.76,0,0,0,0,1.96,0,0,1.96,3.92,0,0
