stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.32,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
 24-34,0,0.82,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0,0,4.93,0,0,0,0.82,0,0,0,8.21,0,0.82,0.82,0,21.34,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0,0,2.42,0,0.81,0,1.61,0.81,0,0,1.61,0,0,0,0,16.11,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,1.15,0,0,0,0,5.16,0,0,0.57,0,0,0,1.15,0,0,0,2.3,0.57,0,0,0,17.21,0.57,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0.98,0,0,2.94,0,0,0,3.93,0.98,0,0,0.98,0,0,0,0,12.76,0,0,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,1.96,0,0,0,0.98,2.94,0.98,0,6.87,0,1.96,0,0.98,1.96,0,0,5.89,0,0.98,1.96,0,9.82,1.96,0,0,1.96,0,0.98
 84-94,0,0,0,8.5,0,0,2.12,0,0,0,2.12,4.25,0,0,19.12,0,1.06,1.06,1.06,1.06,0,1.06,0,1.06,0,2.12,0,58.41,3.19,0,0,2.12,0,0
 96-106,0,1.09,0,20.76,0,1.09,1.09,1.09,0,1.09,4.37,0,0,1.09,24.04,0,10.93,1.09,5.46,2.19,1.09,0,1.09,0,3.28,1.09,0,49.18,3.28,0,1.09,3.28,1.09,0
108-118,0,0,0,27.57,0,1.53,1.53,0,0,0,2.3,0,0,0,16.85,0.77,3.06,0.77,1.53,2.3,0,0,4.6,0,0,2.3,0,43.66,0,0,0,5.36,0,0
120,0,0,0,17.64,0,0,1.96,0,0,0,1.96,0,0,0,9.8,0,1.96,1.96,1.96,0,0,0,7.84,0,1.96,3.92,0,27.44,1.96,0,0,3.92,0,0
