stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,5,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,55,0,0.82,0,0,0,0,0,10.67,0
 36-46,0,0,6.45,0,0.81,0,0,0,0,0,0,131.32,0,0,0,0,0,0,0,31.42,0
 48-58,0.57,0.57,21.23,0,2.87,0,0,0,1.15,0,0,154.35,0.57,0,0,0,0,0,0.57,23.53,0.57
 60-70,0,0,38.28,0,2.94,0.98,0,0,0.98,0,0,155.08,0,0.98,0.98,0,1.96,0,0,18.65,0
 72-82,0.98,2.94,39.27,0,3.93,0.98,0,0.98,3.93,0,0,144.3,0,0.98,0.98,0,0.98,0,0.98,5.89,0
 84-94,0,0,21.24,0,1.06,0,1.06,1.06,4.25,1.06,0,72.22,0,1.06,1.06,0,1.06,0,0,8.5,0
 96-106,0,0,13.11,1.09,0,0,0,0,0,0,0,38.25,0,0,0,0,0,0,0,1.09,0
108-118,0,0,14.55,0,0.77,0,0,0,0,0,0,42.13,0,0.77,0,0,0,0,0,0.77,0
120,0,0,13.72,0,0,0,0,0,0,0,1.96,39.2,0,0,1.96,1.96,0,0,0,1.96,0
