stage,epidermis,eye,glial,immune,lateral_line,mesenchyme,neural,olfactory,otic,spinal_cord
 14-21,2,5,1,0,1,0,41,0,2,4
 24-34,3.28,4.1,0,0,0.82,0,54.18,0.82,0.82,13.13
 36-46,0,5.64,3.22,0,0,0,49.95,0,0,21.75
 48-58,0,4.59,2.3,0,0.57,1.15,25.82,1.72,0,10.9
 60-70,0,9.82,3.93,0,0.98,0.98,27.48,0,0,8.83
 72-82,0.98,1.96,7.85,0,0,0,15.71,0,0.98,0.98
 84-94,0,1.06,3.19,0,1.06,1.06,20.18,0,1.06,4.25
 96-106,0,0,4.37,0,1.09,0,3.28,5.46,0,0
108-118,0,1.53,4.6,0.77,0,0,8.43,0,0,0.77
120,0,1.96,3.92,0,0,1.96,5.88,0,0,0
