stage,blastomeres,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0.81
 48-58,0,0,1.72,1.15,0.57,0,0,1.15,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0.77,0,0,1.53,0.77,0,0,0
