stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,83,1,0,0,1,0,8,40,0,0,0
 24-34,0,0,7.39,0.82,0,4.1,0.82,0,0,4.93,2.46,0.82,0,0,0,9.85,2.46,0,0,0.82,369.39,0,0,0,1.64,0,7.39,160.89,0.82,0,0
 36-46,0,0,0.81,0,0,0.81,0.81,0,0,7.25,3.22,6.45,0,0,0,11.28,5.64,0,0,4.83,196.58,0,0,0,0,0,3.22,127.3,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,6.31,2.87,4.59,0,0,0,15.49,11.48,0,0,0.57,26.4,0,0,0,0.57,0,0,37.3,0,0,0
 60-70,0,0,0,1.96,0,1.96,0,0,0,1.96,4.91,1.96,0,0,0,24.54,16.69,0,0.98,3.93,4.91,0,0,1.96,0,0,0,8.83,0,0,0
 72-82,0,0.98,0,1.96,0,2.94,0.98,0,0,8.83,0.98,0.98,0,0,0,51.05,11.78,0,0,0.98,10.8,0,0,0.98,0.98,0,0,8.83,0.98,0,0.98
 84-94,0,1.06,0,2.12,0,1.06,0,0,0,7.43,3.19,4.25,0,0,0,175.24,6.37,0,0,0,8.5,0,0,0,1.06,0,0,4.25,0,0,0
 96-106,0,0,0,2.19,0,5.46,0,0,2.19,5.46,2.19,10.93,0,1.09,0,199.99,34.97,1.09,4.37,7.65,31.69,0,0,4.37,2.19,1.09,0,3.28,0,2.19,0
108-118,0,0.77,0,3.06,0.77,4.6,0,0,3.83,8.43,0,4.6,2.3,0,0.77,364.6,47.49,0.77,1.53,6.89,20.68,0.77,0,1.53,1.53,0,0,5.36,1.53,0,0
120,0,0,0,0,0,0,0,1.96,0,5.88,0,1.96,0,0,0,184.22,17.64,0,7.84,5.88,11.76,0,0,1.96,5.88,0,0,0,0,0,0
