stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1989.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1201.41,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,21.03,0,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,249.73,7.89,0,0,89.38,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,7,16,10,2,0,2,0,0,0,2,0,0,0,0,0,0,24,2,0,0,3,66,0,0,0,0,0,1,1,1,8,0,4,19,0,0,0,0,0
 24-34,0,0,8.21,13.95,3.28,0,0,0.82,0,0.82,0,0.82,3.28,0,0,0,0,0,43.51,2.46,0,0,1.64,13.13,12.31,0,0,0,0,0,0,0,6.57,0,0,14.78,0,0,1.64,0,0
 36-46,0,0,4.83,1.61,0.81,0,0,0,0,0,1.61,0,9.67,0,0,0,0,0,30.62,2.42,0,0,1.61,6.45,8.06,0.81,0,0,0,0,0,0,3.22,0,0,10.47,0,0,1.61,0,0
 48-58,1.15,0,1.72,0,2.3,0,0,3.44,0,0,0,0,13.77,0,0.57,0,0,0,40.74,6.89,0,0.57,0.57,14.35,8.61,0,0,0,0,0,0,0,8.03,0,0,1.72,0,0.57,0.57,0,0
 60-70,0,0,1.96,0,4.91,0,3.93,2.94,0,0,0,0.98,6.87,0,0,0,0,0,65.76,9.82,0.98,5.89,0.98,19.63,0,0,0,0,0,0,0,0,15.7,0,0,0.98,0.98,1.96,1.96,8.83,0
 72-82,0,0,3.93,1.96,23.56,0.98,54.97,18.65,0,0,0.98,3.93,12.76,0,0,0,0,0.98,160.99,24.54,0,8.83,1.96,57.92,0,0.98,1.96,0,0,2.94,0,0,45.16,0,0,4.91,1.96,20.61,0.98,34.36,1.96
 84-94,0,0,7.43,6.37,28.68,1.06,110.45,20.18,0,2.12,0,1.06,20.18,0,0,0,0,1.06,515.09,15.93,0,6.37,2.12,50.98,0,0,0,0,2.12,3.19,0,0,126.38,1.06,0,2.12,2.12,11.68,0,42.48,0
 96-106,0,0,1.09,1.09,16.39,7.65,127.86,45.9,1.09,2.19,1.09,7.65,16.39,0,0,3.28,3.28,0,786.85,45.9,1.09,6.56,6.56,158.46,0,1.09,4.37,0,3.28,13.11,0,0,86.33,1.09,0,3.28,5.46,8.74,5.46,64.48,0
108-118,0,0,3.06,3.06,26.81,3.06,245.87,32.17,0,3.06,0,7.66,11.49,0,0,1.53,2.3,0.77,1498.22,30.64,0,3.83,3.83,138.64,0,0,1.53,0,3.83,14.55,0,0,98.81,0,0,2.3,3.83,5.36,3.83,42.13,1.53
120,0,0,3.92,0,17.64,1.96,82.31,19.6,0,1.96,3.92,1.96,7.84,0,1.96,7.84,0,0,813.31,21.56,0,1.96,0,97.99,0,0,0,0,0,1.96,0,0,47.03,0,0,1.96,0,5.88,5.88,60.75,5.88
