stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,10,0,0,0
 24-34,0.82,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0.82,70.59,0.82,3.28,0,0.82,0,0,0.82,17.24,0,0,0
 36-46,0.81,0,0,6.45,0.81,0,0,1.61,0,0,0,0,0,0,0,0,2.42,0,1.61,167.58,0,3.22,0,0,0,0,0,34.64,0,0,0
 48-58,0,0,0,25.25,1.15,0,0.57,1.15,0,0.57,0,0,0,0,0,0,1.15,0,1.15,203.13,0.57,1.15,0,2.87,0.57,0,0,41.31,0,0.57,0.57
 60-70,0,0,0,59.87,3.93,0.98,0,4.91,0,0,0,0,0,0,0,0.98,5.89,0.98,0.98,350.4,0,6.87,0,1.96,0,0,0,46.13,0,0,0
 72-82,0.98,1.96,0.98,66.75,0.98,0,0,10.8,0,0,0,0,0.98,0,0,0.98,17.67,0,4.91,334.75,0,5.89,0,3.93,0,0,0,26.5,0,0,0
 84-94,3.19,4.25,1.06,37.17,1.06,0,0,5.31,1.06,0,0,0,2.12,0,1.06,0,11.68,0,2.12,157.18,0,4.25,0,7.43,0,0,0,13.81,0,0,0
 96-106,0,2.19,2.19,29.51,0,0,0,7.65,1.09,0,0,0,0,0,0,0,6.56,0,1.09,139.88,0,13.11,0,1.09,0,0,0,9.84,1.09,2.19,1.09
108-118,0.77,0.77,1.53,31.4,5.36,0,0.77,6.13,1.53,0,0,0,0,0.77,0,0,2.3,0,3.06,148.6,0,4.6,0,0,0,0.77,0,3.83,0,0,0.77
120,1.96,1.96,0,17.64,3.92,0,1.96,9.8,0,0,0,3.92,0,0,0,0,0,0,3.92,239.09,0,9.8,0,0,0,0,0,11.76,1.96,0,0
