stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,2,0,0,0,1,2,0
 24-34,0,0,0.82,3.28,0,0,0,0,0,7.39,0,0,0,0,0.82,0
 36-46,0,0,0,2.42,0,0,0,0,0,7.25,0,0,0,0,3.22,0
 48-58,0,0,0,2.87,0,0,1.72,0.57,0,4.02,0,0,0,0,0.57,0
 60-70,0,0,0,3.93,0,0,0,0.98,0,3.93,0,0,0,0,1.96,0
 72-82,0,0,0,1.96,0.98,0.98,1.96,0,0,3.93,0,0,0,0,0.98,0.98
 84-94,0,0,0,2.12,0,0,0,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,0,0,0,2.19,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0.77,3.83,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0
