stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,0,42.68,1.64,0,0,0,0,18.06,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0.81,0,0,117.63,0,0,0,0,0,24.98,0
 48-58,0,0,0,0,7.46,0,0,1.15,0,0.57,0.57,1.15,152.63,0.57,0,0,0,0,26.4,0
 60-70,0,0,0,0,40.24,0,0,3.93,0.98,5.89,0,0.98,313.11,0.98,0,0,0,0,27.48,0
 72-82,0,0,0.98,0,65.77,0,0.98,8.83,0,8.83,0,0,245.42,0,0,0,0,0,15.71,0
 84-94,0,0,0,0,38.23,0,0,5.31,0,6.37,0,0,128.51,0,0,0,2.12,0,10.62,0
 96-106,0,0,5.46,0,34.97,0,0,4.37,0,4.37,0,0,113.66,1.09,1.09,0,0,0,5.46,1.09
108-118,0,0,0,0,21.45,0.77,0,2.3,0.77,6.89,0,0,87.32,0.77,0,0,0,0,0.77,0
120,0,0,0,1.96,31.36,0,1.96,5.88,0,7.84,0,0,115.63,0,0,0,0,0,1.96,0
