stage,axial,blastomeres,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,2.63,2.63,13.14,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81
 60-70,0,0,0.98,0.98,0,0.98,0,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98
 96-106,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,1.53,0,0,0.77,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0
