stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,1,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0.82,0,1.64,5.75,2.46,0,0,0,4.93,0,1.64,0.82,13.95,0.82,0,0.82,0,0,0,0,1.64,2.46,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,4.03,0.81,0,1.61,0,2.42,6.45,2.42,0,0,0,15.31,0,3.22,1.61,23.36,0,1.61,0.81,0,4.03,0,0,0,7.25,0,0,0,0
 48-58,0.57,0,1.72,1.72,0,6.31,3.44,2.3,0,2.3,0,3.44,8.61,2.3,0,0,0,21.8,0,16.64,5.16,20.66,0.57,0.57,2.87,0,1.72,0.57,0,0,5.16,1.72,1.15,0,0
 60-70,0,0,1.96,2.94,0,9.82,3.93,4.91,0.98,1.96,0,1.96,35.33,4.91,0,0,0,50.06,0,44.17,12.76,11.78,0,0,2.94,5.89,0.98,0.98,0,0,5.89,11.78,0.98,10.8,0
 72-82,0,0.98,0,14.72,0,15.71,0.98,0,3.93,5.89,1.96,4.91,62.83,5.89,0,0.98,0,94.24,0,53.99,11.78,25.52,0,0,11.78,7.85,0.98,0,0,0,7.85,35.34,0.98,53.99,0
 84-94,0,0,2.12,4.25,0,4.25,0,4.25,3.19,3.19,2.12,4.25,76.47,4.25,0,0,0,62.66,1.06,39.3,5.31,9.56,1.06,0,4.25,4.25,2.12,1.06,1.06,0,3.19,21.24,2.12,49.92,0
 96-106,0,0,5.46,9.84,1.09,12.02,0,2.19,0,3.28,6.56,6.56,134.42,21.86,1.09,2.19,1.09,101.63,0,40.44,9.84,31.69,1.09,1.09,18.58,25.14,2.19,3.28,1.09,0,0,26.23,14.21,83.06,1.09
108-118,0,0,9.19,6.89,1.53,6.13,1.53,2.3,1.53,3.83,7.66,2.3,74.3,13.79,0.77,0,0,63.57,0,36.77,10.72,19.92,0.77,0.77,6.13,18.38,2.3,0.77,0,0,1.53,9.96,7.66,46.72,0
120,0,0,9.8,11.76,0,1.96,0,1.96,0,1.96,9.8,9.8,160.7,9.8,0,3.92,0,54.87,0,48.99,5.88,31.36,0,0,5.88,13.72,0,1.96,0,0,1.96,27.44,13.72,80.35,0
