stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16,0,0,8,0,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,0,0,41.86,0.82,0,9.85,0,3.28,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,68.48,2.42,0,13.7,0,0,0
 48-58,0,0,0,0,5.16,0.57,0.57,0,0,0,0,0,0.57,0,0.57,73.45,1.15,0,12.05,0,0.57,0
 60-70,0,0,0,0,13.74,0,0,0.98,0,0,0,0.98,0.98,0,0,153.12,5.89,0,17.67,0,1.96,0
 72-82,3.93,0,0.98,0,22.58,0,0,2.94,0.98,0,0,0,0,0.98,0.98,93.26,2.94,0,13.74,0,1.96,0
 84-94,1.06,0,1.06,1.06,15.93,0,0,3.19,1.06,1.06,0,0,4.25,0,0,61.6,3.19,2.12,7.43,0,0,1.06
 96-106,1.09,0,2.19,0,8.74,0,1.09,1.09,0,0,1.09,0,2.19,0,0,46.99,6.56,2.19,1.09,1.09,3.28,0
108-118,0.77,0,1.53,0,6.13,0,0,1.53,1.53,0,0,0,0.77,0,0.77,48.26,3.06,0,1.53,0,0,0
120,0,0,0,0,7.84,0,0,1.96,0,0,0,0,5.88,0,0,39.2,7.84,0,3.92,0,0,0
