stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0.82,1.64,0,0,0,0,0,0.82,0,0.82,1.64,0,0,0,4.93,0
 36-46,1.61,0,0.81,0,0,0.81,0,1.61,0,0.81,0.81,0,0,0,3.22,0
 48-58,1.72,1.15,0.57,0,0,0,1.15,1.72,0,0,1.15,0,0,0,2.3,0
 60-70,0.98,0,0,0,0,0,0.98,3.93,0,0,1.96,0,0.98,0,2.94,0
 72-82,1.96,3.93,0.98,3.93,0,4.91,0.98,8.83,0.98,1.96,2.94,0,0,0,0,0
 84-94,3.19,1.06,2.12,2.12,0,2.12,0,9.56,0,1.06,5.31,1.06,0,0,5.31,1.06
 96-106,4.37,2.19,1.09,9.84,0,9.84,2.19,5.46,0,2.19,4.37,1.09,0,1.09,4.37,0
108-118,0,0.77,3.83,6.89,0.77,5.36,0,3.83,0,0,1.53,0.77,0,0.77,0.77,0
120,0,5.88,0,13.72,1.96,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0
