stage,axial,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
 24-34,0,0,0.82,34.48,0,0,0,0,0,0,0,2.46,0,1.64,14.78,0,0,0,0,0.82,3.28,0
 36-46,0,0,0.81,14.5,0,0,0.81,0.81,0,0.81,0,0,0,0,17.72,0,0.81,0,0,0,4.03,0
 48-58,0,0,0,9.18,0,0,0,0,0,0,0,0.57,0,0,24.1,0,1.72,0,0,0,4.59,0
 60-70,0,0.98,0.98,25.52,0,2.94,0,0,0,1.96,0,0.98,0,0,65.76,0,1.96,0,0.98,0,6.87,0
 72-82,0,0,0,42.21,0,2.94,0,0,0,0.98,0,3.93,0,0,106.02,0,2.94,0,0.98,0,5.89,0
 84-94,0,0,1.06,37.17,1.06,1.06,2.12,0,1.06,3.19,0,1.06,0,1.06,54.16,0,3.19,0,1.06,0,4.25,0
 96-106,0,1.09,2.19,34.97,0,2.19,0,0,0,2.19,0,3.28,0,0,49.18,0,6.56,0,5.46,0,4.37,1.09
108-118,0,0,0.77,51.32,0,3.06,0,0.77,0.77,6.13,0.77,0,0.77,0,51.32,0,5.36,0,0.77,0,0.77,0
120,0,0,0,39.2,0,0,0,0,0,1.96,0,0,0,1.96,70.55,1.96,1.96,0,1.96,0,0,1.96
