stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,94.63,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,37.76,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,35,7,0,2,0,1,0,4,3,0,2,0,0,0,0,0,1,13,0,12,91,6,0,0,4,0,2,1,31,1,0,26,38,0,0,2,0,0
 24-34,0,0,1.64,0.82,19.7,3.28,0,17.24,0,1.64,0.82,8.21,0,0,3.28,0.82,0,0.82,0.82,0,0,50.07,0,26.27,137.08,4.93,0.82,2.46,0,0,4.1,0,0,2.46,0.82,5.75,59.92,0,0,19.7,0,0
 36-46,0,0,0,0,7.25,0.81,0,11.28,0,0.81,2.42,16.11,0,0,3.22,1.61,0,0,0,0,0,42.7,0,8.06,58.81,4.83,0.81,2.42,0,0,2.42,0.81,0,0.81,0,0,24.17,0,0,6.45,0,0
 48-58,0,0,0,0,8.61,0.57,0,20.66,0,2.3,8.61,21.23,0,0,2.3,1.72,0,0,2.3,0.57,1.15,70,2.3,12.62,48.77,1.72,1.15,2.87,0,0,4.02,0,0,0.57,0.57,0,20.08,0,1.15,6.31,0.57,0.57
 60-70,0,0,0,0,5.89,1.96,0,15.7,1.96,1.96,2.94,23.56,1.96,0,2.94,2.94,0,4.91,2.94,0,1.96,86.37,4.91,8.83,40.24,0,2.94,1.96,0,0.98,3.93,0,0,0,0,0,5.89,0,1.96,7.85,1.96,0.98
 72-82,0,0,0.98,0,6.87,10.8,0,35.34,0,2.94,18.65,77.55,1.96,0,6.87,5.89,0.98,0.98,2.94,0.98,0,169.83,9.82,16.69,38.28,0.98,1.96,6.87,0,3.93,4.91,0,0,0,0,0,7.85,0,8.83,28.47,7.85,0
 84-94,0,0,0,0,19.12,4.25,0,25.49,0,3.19,3.19,46.73,8.5,0,2.12,15.93,4.25,1.06,5.31,0,1.06,95.58,5.31,5.31,24.43,3.19,1.06,3.19,0,5.31,12.74,0,0,1.06,0,0,6.37,0,5.31,20.18,8.5,0
 96-106,1.09,0,1.09,0,16.39,8.74,0,18.58,0,2.19,6.56,30.6,3.28,0,4.37,8.74,1.09,2.19,4.37,0,0,86.33,5.46,13.11,32.79,4.37,3.28,9.84,0,3.28,12.02,1.09,0,1.09,0,0,6.56,2.19,3.28,17.49,8.74,0
108-118,0,0,3.06,0,23.74,6.89,2.3,11.49,0.77,5.36,6.13,36,0.77,0,1.53,15.32,0.77,6.89,0.77,1.53,1.53,97.28,3.83,9.19,38.3,3.83,3.06,8.43,0,6.13,9.19,0,0,1.53,0,0,5.36,0,1.53,16.09,4.6,1.53
120,0,0,0,0,21.56,5.88,1.96,9.8,0,1.96,5.88,33.32,1.96,0,7.84,23.52,0,0,1.96,0,0,56.83,3.92,9.8,33.32,3.92,1.96,1.96,0,3.92,5.88,0,0,1.96,0,0,3.92,0,1.96,9.8,3.92,0
