stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,gut,hatching_gland,immune,mucous,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,39.53,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,15.77,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,1.15,0,0,0,1.15,0,0,0,0,0.57,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,1.09,2.19,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0.77,3.06,0,0,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
