stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,18,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,18,0,0,4,130,3,2,1,0,0,2,1,10,0,14,18,61,0,13,0,0
 24-34,0,0,1.64,2.46,7.39,1.64,0,12.31,1.64,0,0,8.21,0.82,0,0.82,2.46,0,0.82,0,0,0.82,25.45,0.82,0,13.13,531.91,0,6.57,1.64,0,0,2.46,0,0,1.64,2.46,5.75,144.47,0,29.55,0,0
 36-46,0,0,0,0,0.81,0,0,91.85,0,0.81,1.61,28.2,0,0,2.42,2.42,0,0,0,0,0.81,20.95,0,0,6.45,1268.93,0,6.45,2.42,0,0,0,0,0,0,0,0.81,234.45,0,19.34,0,3.22
 48-58,0.57,0,0.57,0,1.72,0,0,229.52,1.15,1.15,2.3,54.51,0,0,0.57,1.15,0.57,0,0.57,0,0,39.59,0,1.15,7.46,1287.04,0.57,3.44,1.15,0,0,0.57,0,0,0,0.57,0,215.18,0,21.23,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,443.65,0,1.96,0,49.08,0,0,0.98,4.91,0,1.96,0.98,0,0,35.33,0,2.94,4.91,1283.83,0,2.94,0,0,0,3.93,0,0,0.98,0,0,169.8,0,16.69,0.98,1.96
 72-82,0,0,1.96,0,3.93,0,0,297.44,0.98,0,0,45.16,0.98,0,0.98,7.85,0,2.94,0,0,0,44.17,0,4.91,5.89,791.22,0,4.91,1.96,0,0.98,0.98,0,0,0,0,0,55.95,2.94,30.43,4.91,0.98
 84-94,0,0,2.12,0,5.31,1.06,0,173.11,3.19,0,0,43.54,4.25,0,0,9.56,0,2.12,0,0,0,24.43,0,2.12,4.25,349.41,0,4.25,1.06,0,1.06,1.06,0,0,1.06,0,0,33.99,2.12,27.61,4.25,0
 96-106,1.09,0,1.09,0,4.37,2.19,0,101.63,2.19,1.09,1.09,28.41,3.28,0,3.28,8.74,0,1.09,0,1.09,0,29.51,0,1.09,3.28,307.09,0,4.37,0,1.09,1.09,0,0,0,0,0,0,14.21,0,27.32,12.02,0
108-118,0,0,0.77,0,6.89,0.77,0,99.58,0,0,0,17.62,1.53,0,0.77,6.13,0,3.06,0,0.77,0,13.79,0,3.83,2.3,323.24,0,9.96,3.83,0,0,1.53,0,0,0,0,0,12.26,0,19.92,3.83,0
120,0,0,1.96,0,11.76,1.96,1.96,99.95,0,0,0,23.52,1.96,0,1.96,7.84,0,0,0,0,0,19.6,3.92,3.92,11.76,399.8,1.96,5.88,0,0,0,1.96,0,0,0,0,0,7.84,0,29.4,9.8,0
