stage,axial,blastomeres,epidermis,erythrocytes,fin_epithelia,fin_mesenchyme,mesenchyme,mucous,neural,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,5,1,0,0,0,0,2,1,0,0
 24-34,0,0,14.78,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,4.03,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,4.02,0,1.15,0,0.57,0.57,0.57,0,0,0
 60-70,0,0,8.83,0,0,0.98,0.98,0,0,0,0,0.98
 72-82,0,0,2.94,0,0.98,0,0,0.98,3.93,0,0,0
 84-94,0,0,14.87,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,7.65,0,3.28,0,0,0,1.09,1.09,0,0
108-118,0,0,11.49,0,6.13,0,0,0,0.77,0,0,0
120,0,0,19.6,0,11.76,0,0,0,0,1.96,0,0
