stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,2.46,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,7.25,0,0,0,0,1.61,0
 48-58,0,0,0,0,2.87,0,0,0,0,0,0,6.31,0,0,0,0.57,2.3,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,7.85,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,6.87,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,1.06,0,0,1.06,0,4.25,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,0,1.09,1.09,0,0,3.28,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0,3.83,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
