stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature
 14-21,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0,3.28,0,0,1.64,0.82
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,0,0.57,1.15,0,0,0,0,0,0,0,0,0,0,1.15,0,0.57,0.57,0,0,0.57,0.57
 60-70,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,4.91,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,5.89,0.98,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,11.68,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,2.19,0,0,10.93,0,0,0,0
108-118,0.77,3.06,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0.77,6.89,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,5.88,0,0,27.44,0,0,0,1.96
