stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,136,0,0,0,0,0,1,0,0,0,104,0,0,0,0,0
 24-34,0,0.82,6.57,0,0,7.39,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,8.21,0,0,3.28,1250.16,0.82,0.82,0.82,0,0.82,0,0.82,0.82,0.82,306.18,0,0,0.82,0,0.82
 36-46,0,0,4.83,0,0,29.81,0,0.81,0.81,10.47,0,0,0,0.81,0,0.81,0,0,0,3.22,0,0.81,4.03,2960.83,0.81,4.03,0,0,4.03,0,0,1.61,0,519.66,0,0,4.83,0,0.81
 48-58,0.57,0,13.2,0.57,0,304.12,0.57,2.3,1.15,49.92,0,0,0.57,1.72,1.15,0.57,0,0.57,1.72,39.59,0.57,0.57,6.89,4434.36,0.57,2.3,1.72,0.57,6.89,0,0.57,0.57,0,667.91,0,0,2.3,0,4.02
 60-70,0,0,10.8,0.98,0,821.53,0.98,2.94,0.98,57.91,0.98,0,0.98,4.91,0,0.98,0,0,0,49.08,0.98,3.93,6.87,5752.7,1.96,1.96,0.98,0,3.93,0,0,1.96,0,681.18,0,0,9.82,0.98,2.94
 72-82,2.94,0,34.36,12.76,0,1176.03,0.98,0.98,1.96,120.74,4.91,0,0.98,0.98,0.98,0.98,0.98,4.91,0,78.53,1.96,3.93,2.94,5032,0,5.89,2.94,2.94,7.85,0,0.98,0.98,0,452.55,0.98,0.98,9.82,0.98,4.91
 84-94,2.12,0,61.6,4.25,0,849.63,0,2.12,3.19,91.34,1.06,1.06,2.12,2.12,1.06,7.43,1.06,3.19,3.19,79.65,2.12,4.25,6.37,2509.59,1.06,2.12,3.19,0,12.74,0,1.06,1.06,0,229.4,1.06,4.25,4.25,1.06,0
 96-106,2.19,0,49.18,14.21,0,653.52,2.19,2.19,1.09,79.78,6.56,0,0,4.37,2.19,0,2.19,4.37,0,38.25,0,0,3.28,1994.45,1.09,8.74,1.09,1.09,14.21,0,1.09,1.09,0,106.01,3.28,1.09,5.46,3.28,2.19
108-118,0.77,0.77,23.74,6.89,0.77,454.22,0.77,0.77,1.53,48.26,6.13,0,0,2.3,0,0.77,1.53,1.53,0,37.53,2.3,0.77,1.53,2318.57,0,1.53,3.06,0,3.83,0,0,0,0,71.23,1.53,0.77,3.83,1.53,1.53
120,0,0,33.32,5.88,0,464.47,1.96,3.92,0,60.75,1.96,0,0,5.88,3.92,3.92,0,3.92,0,45.08,0,0,9.8,2565.36,1.96,3.92,0,1.96,7.84,0,0,0,0,101.91,0,0,5.88,0,1.96
