stage,epidermis,exocrine_pancreas,eye,heart,liver,mesenchyme,neural,olfactory,pericytes,periderm,vasculature
 72-82,0,0,0,0,7.85,0,0,0,0,0,0
 84-94,0,0,1.06,0,15.93,0,1.06,0,0,0,0
 96-106,2.19,0,2.19,1.09,104.91,2.19,8.74,1.09,0,1.09,1.09
108-118,1.53,1.53,0.77,0,229.79,3.06,12.26,0,0.77,0,0
120,0,0,0,0,178.34,1.96,1.96,0,0,0,0
