stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8
 24-34,0.82,0,0.82,0,0,0,0,3.28,1.64,0,0,0,0,3.28,0,0,0,0,0,55.82
 36-46,1.61,0,0.81,0.81,0,0,0,0,1.61,0,0,0,0,1.61,0,0,0,0,0,33.84
 48-58,0,0,0,0,0,0.57,0,2.87,3.44,0.57,1.15,0,0,2.87,0.57,0,0,0,2.3,29.26
 60-70,0,0,2.94,0,0,0,0,3.93,4.91,0,5.89,0,0.98,5.89,0,0,0,0,0,22.58
 72-82,0.98,0,0.98,0,1.96,0,0,7.85,8.83,0,4.91,0,0,2.94,0,0,0.98,0,0,53.01
 84-94,0,0,1.06,0,0,0,0,5.31,10.62,0,5.31,0,0,1.06,0,1.06,0,0,0,54.16
 96-106,0,0,1.09,0,0,0,0,9.84,24.04,0,15.3,0,0,4.37,0,0,0,0,0,43.71
108-118,0.77,0.77,0,0,0,0.77,0,6.89,16.85,0,5.36,0,0,0.77,0,0,0,0.77,0,43.66
120,0,1.96,3.92,0,0,0,1.96,1.96,25.48,0,7.84,1.96,1.96,3.92,0,0,0,0,0,35.28
