stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,25.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,33,0,0,0,0,0,0,2,16,0,0,0,0,0
 24-34,0,2.46,0,1.64,0,6.57,0,0,0,0,0.82,0,0,0,0,7.39,0,0,2.46,123.13,0.82,1.64,0.82,0,0,0,0,47.61,0,0,9.85,0,0
 36-46,0,0,0,0,0,19.34,0,0.81,4.03,0,0,0,0,0,3.22,7.25,0,0.81,4.03,143.41,2.42,2.42,0,0,0,0.81,0,62.04,0,0,4.03,0,0
 48-58,0,0.57,0,1.72,0,29.26,0.57,0,4.59,0,0,0,0.57,0.57,1.15,14.35,0.57,0,1.15,105.58,0.57,1.15,0.57,0,0,0,0,28.69,0,0,1.72,0,0
 60-70,0,0,0,0,0,56.93,1.96,0,6.87,0,1.96,0.98,0,0,0,19.63,0,0.98,0.98,129.56,0,4.91,0,0,0,0.98,0,21.59,0,0,0.98,0,0.98
 72-82,0,0.98,0,1.96,0,76.57,0,0,6.87,0.98,0,0,0.98,0,0,12.76,0,0,1.96,114.85,0,1.96,1.96,0,0.98,1.96,0,11.78,0,0,3.93,0,0
 84-94,0,1.06,0,1.06,0,47.79,1.06,1.06,4.25,0,0,1.06,0,0,0,19.12,0,0,0,73.28,0,0,6.37,0,0,2.12,0,6.37,0,2.12,2.12,0,0
 96-106,0,0,0,2.19,0,41.53,1.09,2.19,2.19,0,0,1.09,0,4.37,0,8.74,1.09,0,0,45.9,0,1.09,10.93,0,0,1.09,0,4.37,0,0,5.46,1.09,0
108-118,0,0,0,2.3,0,29.11,0,0.77,4.6,1.53,0,2.3,0.77,1.53,0,4.6,0,0,2.3,41.36,0,0.77,3.83,0,0,0.77,0,4.6,0.77,0,3.06,0.77,0
120,0,0,0,9.8,1.96,23.52,0,1.96,1.96,0,0,0,0,3.92,0,5.88,0,3.92,1.96,68.59,0,0,9.8,0,0,0,0,5.88,0,0,9.8,0,0
