stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,10.51,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,18.88,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,2,15,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,47,2,0,0,2,0,0,1,17,0,0,0,0
 24-34,0,0,0.82,1.64,11.49,0,0,6.57,0,0,0,2.46,0,0,0,0,0,0,0,0,10.67,0,0,0.82,77.98,0,0,0.82,0,0,1.64,0,18.06,0,0,0,0
 36-46,0,0,0,0,6.45,0,0,5.64,0,0.81,0,1.61,0,0,0,0,0,0,0,0.81,11.28,0,0,0.81,48.34,0,0.81,0.81,0,0,2.42,0,8.06,0,0,1.61,0
 48-58,0,0,0,0,5.16,0.57,0,8.03,0,0.57,1.15,6.89,0,0.57,0.57,0,0.57,0,0,0,13.77,0,0,0.57,29.26,0.57,0,0,0,0,2.3,0,9.18,0,0.57,1.72,0
 60-70,0,0,0,0,6.87,0,0,1.96,0.98,0.98,2.94,24.54,1.96,0,0,0,0,0,2.94,0,23.56,0,0,0.98,31.41,0,0,0,0,0,0.98,0,6.87,0,0,3.93,0.98
 72-82,0,0,0,0,5.89,0,0,5.89,0,0,0.98,41.23,2.94,0.98,0.98,0,0,0,1.96,0,31.41,0,0,0.98,9.82,0,0.98,0.98,0,0,1.96,0,0.98,0,1.96,5.89,0.98
 84-94,0,0,0,0,12.74,0,0,5.31,0,1.06,1.06,20.18,2.12,1.06,0,0,0,0,6.37,0,16.99,0,0,1.06,12.74,0,0,1.06,0,0,4.25,1.06,4.25,1.06,1.06,3.19,0
 96-106,0,0,0,0,12.02,0,1.09,0,0,1.09,1.09,43.71,4.37,0,1.09,1.09,0,1.09,0,0,26.23,1.09,0,3.28,8.74,0,2.19,2.19,0,1.09,4.37,0,2.19,1.09,0,6.56,0
108-118,0,0,0,0,7.66,0,0,0.77,0,0.77,2.3,32.94,6.89,0,0.77,0,0,0.77,2.3,0,19.15,0,0.77,0,12.26,0,0,0.77,0,0,3.06,0,1.53,1.53,0,5.36,0
120,0,0,0,0,7.84,0,0,1.96,0,0,0,23.52,1.96,0,1.96,1.96,3.92,0,0,0,5.88,0,0,0,9.8,0,0,1.96,0,0,5.88,0,0,0,1.96,9.8,0
