stage,endocrine_pancreas,eye,glial,lateral_line,neural,olfactory,otic,periderm,spinal_cord
  7-9,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,2,0,0,0,1
 24-34,0,0,0,0,4.93,0,0,0,0.82
 36-46,0,0.81,0,0,21.75,0,0,0,3.22
 48-58,0,4.02,0.57,0,24.67,0.57,0,0,5.74
 60-70,0,11.78,0,0,36.32,0,0,0,4.91
 72-82,0,14.72,1.96,0,23.56,0,0,0,0.98
 84-94,0,7.43,1.06,0,12.74,0,1.06,0,1.06
 96-106,0,5.46,0,1.09,12.02,0,2.19,0,1.09
108-118,0,1.53,0.77,0.77,9.19,0.77,0,0,0
120,0,0,1.96,0,11.76,1.96,0,1.96,0
