stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,lateral_line,mesenchyme,muscle,neural,periderm,somites,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,1,1
 24-34,0,0,0,0,0,0,0,0.82,0,3.28,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0.81,4.03,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,2.87,0,0,0.57
 60-70,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,3.28,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0.77,0.77,0,0
120,0,1.96,1.96,0,0,0,1.96,0,0,1.96,0,0,0
