stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,553.47,11161.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.76,0,0,0,0,0,0,0,0,0,0
  5-6,588.44,8121.77,0,12.26,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,190.02,18.39,0,0,110.33,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,78.86,157.72,0,173.5,0,0,457.4,0,0,0,0,105.15,0,0,0,0,0,0,0,0,0,3906.27,49.95,0,0,1516.77,0,2.63,36.8,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,129.03,0,113.29,0,6.29,320.99,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,2482.96,40.91,0,0,890.59,0,3.15,9.44,0,91.26,3.15,6.29,0,0,0,0,0
 14-21,1,1,0,5,75,26,63,0,0,20,2,0,1,0,1,0,0,0,64,0,61,840,7,3,7,43,0,22,0,69,4,55,248,0,0,3,0,0
 24-34,0,0,0,0,15.6,6.57,180.59,1.64,1.64,6.57,0.82,0,1.64,0.82,2.46,0,1.64,0,80.44,0,38.58,756.83,0.82,5.75,7.39,0,0,40.22,0,0,0.82,4.93,136.26,0,0,9.85,0,0
 36-46,0,0,0,0,8.86,0.81,194.17,0,0,13.7,0.81,0,0.81,0.81,0,0.81,0.81,0.81,56.4,3.22,23.36,335.16,0.81,0.81,2.42,0,0,16.92,0,0.81,1.61,0,70.9,0,0,5.64,0,0
 48-58,0,0,0,0,2.87,0,155.5,0,1.15,11.48,0.57,0,0.57,0,0.57,0.57,1.15,1.15,59.1,2.87,14.92,157.22,0.57,0,1.15,0,0,4.59,0,0,0,0,18.94,0,0,6.89,0,0.57
 60-70,0,0,0,0,8.83,0,73.61,0,0.98,28.46,1.96,0,0,0,0.98,0,1.96,0,44.17,3.93,6.87,66.74,0,0,0,0,0,3.93,0,0,0,0,4.91,0,0,1.96,0,0
 72-82,0,0,0.98,0,11.78,0,34.36,0.98,1.96,20.61,1.96,0,1.96,0.98,0,1.96,0,0,37.3,2.94,10.8,61.84,0.98,0.98,0.98,0,0,3.93,0,0,0,0,1.96,0.98,0,7.85,0,0
 84-94,0,0,0,0,11.68,2.12,31.86,1.06,1.06,19.12,1.06,0,0,2.12,1.06,1.06,0,1.06,25.49,3.19,10.62,47.79,1.06,1.06,1.06,1.06,1.06,6.37,0,0,0,0,2.12,0,0,4.25,0,0
 96-106,0,0,0,0,2.19,1.09,12.02,0,0,7.65,4.37,0,0,2.19,1.09,0,0,1.09,17.49,0,2.19,30.6,0,0,3.28,0,0,4.37,0,0,2.19,0,1.09,0,1.09,5.46,1.09,0
108-118,0,0,0,0,9.19,5.36,14.55,0,1.53,9.19,2.3,0,0,0,0,0.77,0.77,0.77,11.49,1.53,6.89,57.45,0,0.77,0.77,0,0,5.36,0,0,0,0,3.06,0,0,3.83,1.53,0
120,0,0,0,0,5.88,3.92,23.52,1.96,1.96,17.64,0,0,0,1.96,1.96,5.88,0,0,21.56,0,1.96,56.83,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
