stage,erythrocytes,eye,glial,heart,lateral_line,mesenchyme,muscle,neural,otic,periderm,somites,spinal_cord,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,1,0,0,1,0,1,0,0,0,0,1,2,0
 24-34,0,0,0,0,0,1.64,0.82,1.64,0,0,0,1.64,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.3,0,1.15,0.57,0,0,0,0
 60-70,0,0.98,0,0,0.98,1.96,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0.98,1.96,2.94,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,6.37,0,0,0,0
 96-106,0,1.09,0,0,2.19,0,0,1.09,9.84,0,0,0,1.09
108-118,0,0,1.53,0,0.77,0.77,0,1.53,9.96,0,0,0,0
120,0,0,0,0,0,1.96,0,3.92,9.8,0,0,0,0
