stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,7.39,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,6.45,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,6.87,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,1.96,0,0,1.96,0,118.78,0,0,0,13.74,6.87,0,0.98,0.98,0.98,0,0,0,0,8.83,0.98,0,0.98,27.49,0,0,0,0.98,14.72,0,0,0,0,0.98,0,1.96,0,2.94
 84-94,0,0,4.25,1.06,0,108.33,0,1.06,0,16.99,1.06,1.06,0,4.25,3.19,3.19,3.19,1.06,2.12,12.74,1.06,0,2.12,33.99,0,0,2.12,0,57.35,0,0,0,1.06,4.25,0,2.12,0,4.25
 96-106,3.28,0,32.79,15.3,1.09,212.01,0,6.56,3.28,39.34,6.56,0,2.19,15.3,10.93,2.19,12.02,1.09,1.09,71.04,3.28,3.28,4.37,76.5,0,3.28,8.74,2.19,110.38,0,0,0,3.28,8.74,7.65,19.67,3.28,10.93
108-118,3.06,0.77,103.41,7.66,24.51,212.17,1.53,32.17,6.89,52.85,27.57,0,1.53,20.68,15.32,18.38,20.68,9.96,5.36,115.66,4.6,1.53,21.45,129.45,1.53,5.36,12.26,6.13,86.55,0,3.06,1.53,4.6,28.34,0.77,19.92,3.83,16.85
120,1.96,0,117.59,17.64,17.64,203.82,7.84,45.08,7.84,78.39,25.48,0,5.88,31.36,9.8,7.84,15.68,19.6,3.92,121.51,1.96,0,25.48,166.58,1.96,3.92,13.72,11.76,145.02,1.96,3.92,0,0,7.84,3.92,35.28,5.88,5.88
