stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,540.3,9922.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.23,0,0,0,0,0,0,0
  5-6,723.3,7563.97,30.65,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,251.32,42.91,0,0,91.94,98.07,0,0,0,0,0,0,0
  7-9,170.87,84.12,241.84,0,0,220.81,0,0,0,0,152.47,0,0,0,0,0,0,0,0,0,2662.89,97.26,0,0,1090.92,2.63,10.51,0,0,0,0,0,0
 10-12,0,53.5,107,0,28.32,169.94,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,1806.36,44.06,0,0,667.16,0,3.15,6.29,88.12,3.15,0,0,0
 14-21,0,0,2,11,2,4,0,0,2,0,0,0,0,0,0,0,0,9,0,13,135,0,0,0,5,2,0,34,1,6,40,0,0
 24-34,0,0,0,5.75,4.1,30.37,0,0,5.75,0.82,0,0,0.82,0,0,0.82,0.82,29.55,1.64,9.85,313.57,0,2.46,3.28,0,8.21,0,0.82,0,2.46,69.77,5.75,0
 36-46,0,0,0,0,2.42,64.45,0,0,4.83,0,0,0,0.81,0,0,0,0,23.36,0,4.83,180.47,0,1.61,0.81,0,2.42,0,0,0.81,0,44.31,1.61,0.81
 48-58,0,0,0,4.02,1.15,91.23,0,0,2.87,0.57,0,0,0,0.57,0,0,0,25.25,2.3,1.72,77.46,0,0.57,0,0,2.3,0,0,0,0,14.92,2.3,1.15
 60-70,0,0,0,3.93,0.98,53,0,0.98,5.89,0,0,0,0,0.98,0.98,0.98,0,23.56,0.98,0.98,37.3,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,4.91,0,26.5,0.98,0,9.82,0,0,0.98,1.96,0.98,0,0,0,24.54,0.98,1.96,30.43,0,0,0,0,1.96,0,0,0,0,0,0.98,0
 84-94,0,0,0,4.25,0,23.36,0,0,1.06,1.06,0,0,0,0,0,0,0,20.18,0,2.12,24.43,0,1.06,0,0,1.06,0,0,0,0,0,2.12,0
 96-106,0,0,0,3.28,0,14.21,0,0,4.37,1.09,0,1.09,0,0,0,0,0,15.3,0,1.09,27.32,1.09,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0.77,1.53,9.19,0,0.77,2.3,0,0,0,2.3,1.53,0,0.77,0,11.49,0.77,0,29.11,0,0,0,0,0,0,0,0.77,0,0,2.3,0
120,0,0,0,1.96,3.92,9.8,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,1.96,29.4,1.96,0,0,0,0,0,0,0,0,0,0,0
