stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,vasculature
  3-4,0,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0
  5-6,6.13,508.76,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0
  7-9,5.26,5.26,10.51,0,10.51,0,5.26,0,0,0,0,0,99.89,0,0,47.32,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,28.32,0,0,9.44,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,2.46,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,1.61,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,1.96,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,3.93,0,1.96,0,6.87,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,5.31,0,1.06,0,2.12,0,12.74,0,0,0
 96-106,0,0,0,0,2.19,1.09,0,1.09,2.19,0,4.37,0,0,0,19.67,0,0,0
108-118,0,0,0.77,0,4.6,0,0,0,3.06,0.77,0,0,1.53,0,15.32,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,9.8,0,0,0
