stage,epidermis,eye,glial,gut,immune,liver,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0
 24-34,0.82,0,0,0,0,0,1.64,0,4.1,0,0,0,0.82,0,2.46,0.82
 36-46,0.81,0,0.81,0,0,0,4.03,0.81,8.86,0,0.81,0,0,0,0,0
 48-58,0,1.15,0.57,0,0,0,1.15,0,5.16,0,0,0,0,0,1.15,0
 60-70,0,1.96,0,0,0,0,0.98,0,7.85,0,0,0,0,0,0.98,0
 72-82,0.98,0,0.98,0,0,0,2.94,0.98,11.78,0,3.93,0,0,0,0.98,0
 84-94,0,1.06,0,0,1.06,1.06,1.06,0,2.12,0,2.12,0,0,0,0,0
 96-106,1.09,0,1.09,1.09,0,0,4.37,0,5.46,0,2.19,0,0,0,0,1.09
108-118,0.77,0,0.77,0.77,0,0,0,0,1.53,0.77,2.3,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,5.88,0,3.92,0,0,0,0,0
