stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1634.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1060.43,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,21.03,0,21.03,0,0,94.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,541.51,31.54,0,0,231.33,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,9.44,0,3.15,56.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,399.67,9.44,0,0,119.58,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,23,1,24,0,0,0,10,2,0,1,0,0,0,0,0,54,0,0,35,398,3,1,1,7,0,1,0,19,0,13,46,119,0,0,3,0,0
 24-34,0,0,0.82,3.28,5.75,1.64,89.47,0,3.28,1.64,27.91,0,0,14.78,0,0,2.46,0.82,3.28,132.98,0,0,68.13,866.82,8.21,0,5.75,0,0.82,5.75,0,0,0.82,4.93,11.49,168.28,0,0,10.67,0,0.82
 36-46,0,0,1.61,0,5.64,0.81,192.55,1.61,1.61,4.83,57.2,0,0,8.86,0,0,0,0,0.81,174.83,0,2.42,26.59,627.62,0.81,0,3.22,0,1.61,2.42,0,0,0,2.42,0,148.24,0,0.81,8.06,0,0
 48-58,0,0,0,0,2.87,1.15,196.82,0.57,2.3,8.03,118.2,0,0,6.31,0,0,1.15,1.15,1.15,196.82,0,6.31,32.71,324.2,2.3,0.57,3.44,0,0.57,0.57,0,0,0,2.3,0,100.42,0,1.72,9.18,0.57,1.15
 60-70,0,0,0,0,4.91,0,154.1,0.98,0.98,5.89,148.21,0.98,0,4.91,0.98,0,0.98,0,0.98,224.77,0,5.89,26.5,177.66,1.96,0,1.96,0,3.93,1.96,0,0,0,0,0,51.04,0,1.96,9.82,0.98,0
 72-82,0,0,0,0,0.98,0.98,88.35,0.98,0.98,15.71,191.42,0,0,6.87,0,0,1.96,1.96,3.93,279.77,0,16.69,36.32,152.16,0,0,2.94,0,4.91,0.98,0,0,0,1.96,0,21.6,0.98,8.83,10.8,4.91,1.96
 84-94,0,0,0,0,5.31,1.06,77.53,1.06,1.06,11.68,111.51,2.12,0,3.19,1.06,0,0,2.12,1.06,187.98,0,20.18,28.68,105.14,2.12,0,5.31,0,3.19,1.06,0,0,2.12,0,0,19.12,1.06,2.12,5.31,3.19,1.06
 96-106,0,0,0,0,6.56,0,69.94,3.28,3.28,6.56,122.4,3.28,0,4.37,1.09,1.09,1.09,1.09,3.28,170.48,3.28,18.58,9.84,74.31,1.09,1.09,8.74,0,3.28,5.46,0,0,0,0,0,13.11,0,4.37,10.93,4.37,0
108-118,0,0,0,0,8.43,1.53,45.96,0.77,2.3,4.6,104.94,0,0,3.06,0,0,0,0.77,4.6,160.09,0,11.49,19.15,111.83,2.3,0.77,4.6,0,1.53,0.77,0,0,0,3.83,0,7.66,0,0,3.83,0.77,1.53
120,0,0,0,0,13.72,1.96,48.99,0,3.92,17.64,119.55,1.96,0,3.92,0,0,3.92,0,0,111.71,0,5.88,17.64,123.47,1.96,0,9.8,0,1.96,1.96,0,0,0,1.96,0,5.88,0,3.92,11.76,3.92,0
