stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,26,3,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,13,0,0,15,41,2,0,0,0,0,2,2,2,1,1,8,9,0,0,1,0,1
 24-34,0,0,0,4.1,1.64,0,2.46,0,0,0,1.64,0.82,0,0.82,1.64,0.82,0,0,0,0,11.49,0,0,2.46,24.63,0,0,0,0,0,7.39,0,0,0,0,0,6.57,0,0,8.21,0,1.64
 36-46,0,0,0,1.61,0.81,0,0.81,0,0,0,0.81,0,0,0,10.47,0.81,0.81,1.61,0,0.81,18.53,0,0,3.22,43.51,0,0.81,0,0,0,4.83,0,0,0,0,0,11.28,0,0,4.03,0,1.61
 48-58,0,0,0,1.15,0.57,0,1.15,0.57,1.15,0.57,1.72,0,0,0.57,2.87,0.57,1.15,1.15,0,2.87,12.05,0,0.57,1.15,37.3,0,1.15,0,0,0,5.16,0,0,0,0,0,11.48,0,0,1.72,0,2.87
 60-70,0,0,0,2.94,0,0,0,0,0.98,0,6.87,0,0.98,0,18.65,0,0.98,0,0,0,21.59,0,0,0.98,76.56,0,3.93,0.98,0,1.96,14.72,0,0,0,0,0,14.72,0,2.94,3.93,0,2.94
 72-82,0,0,0.98,4.91,1.96,0,9.82,0,0,0,13.74,0,0,0,12.76,0,3.93,0,0,0.98,48.1,0,9.82,1.96,111.91,0,6.87,0,0,0,10.8,0,0,0,0,0,19.63,0,0.98,8.83,1.96,7.85
 84-94,0,0,0,8.5,2.12,0,10.62,0,3.19,0,7.43,1.06,0,0,22.3,3.19,2.12,3.19,0,2.12,20.18,0,4.25,3.19,46.73,0,1.06,1.06,0,2.12,22.3,0,0,0,0,0,5.31,2.12,3.19,12.74,1.06,6.37
 96-106,0,1.09,0,14.21,3.28,0,8.74,1.09,1.09,1.09,8.74,6.56,0,5.46,28.41,3.28,5.46,3.28,0,2.19,53.55,1.09,6.56,5.46,49.18,0,6.56,1.09,0,2.19,28.41,0,0,2.19,0,0,3.28,1.09,1.09,9.84,2.19,6.56
108-118,0,0,0,22.98,0,0.77,2.3,0,3.06,0.77,12.26,4.6,0,0,23.74,3.06,9.96,3.83,0.77,3.83,40.6,0,1.53,3.06,51.32,0,3.83,1.53,0,1.53,32.94,0,0,0.77,0,0,6.13,0.77,1.53,14.55,0.77,9.19
120,0,0,0,19.6,0,0,3.92,0,0,1.96,7.84,3.92,0,1.96,31.36,1.96,1.96,1.96,0,1.96,29.4,1.96,3.92,1.96,31.36,5.88,1.96,3.92,0,0,27.44,0,0,0,0,0,3.92,0,1.96,9.8,1.96,5.88
