stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,34,0,0,0,1,0,0,0,1,0,2,11,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,9.03,0,0.82,0,2.46,0,0,0,0.82,0.82,6.57,0,0,0.82,60.74,0,0.82,0,0,0,2.46,0,0,0.82,0,17.24,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,16.11,0,0,0.81,3.22,0,0,0,0,0,4.83,0,0.81,1.61,74.12,0,0,0,0,0,1.61,0,0,0,0,22.56,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,33.28,0,0.57,0,5.16,1.15,0,0.57,0,0,9.18,0,0,1.72,75.17,0,0,1.15,0,0,2.3,0,0,0,0,20.08,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,49.08,0.98,0,0.98,7.85,0,0,0,0.98,0,16.69,0,0.98,1.96,90.3,0,0.98,0.98,0,0.98,1.96,0,0,0,0,13.74,0,2.94,0.98,0,0
 72-82,0,0,0,2.94,0,0,33.38,0,0,1.96,6.87,0,0,0.98,0,0,9.82,0.98,0,2.94,62.83,0,0,0.98,0,0,3.93,0,0,0,0,4.91,0,0.98,0.98,0.98,0
 84-94,0,0,0,3.19,0,0,29.74,0,0,2.12,6.37,2.12,1.06,0,1.06,1.06,11.68,0,1.06,0,35.05,0,1.06,2.12,0,0,13.81,0,0,0,0,1.06,1.06,1.06,1.06,0,0
 96-106,0,0,0,3.28,0,0,9.84,0,0,0,2.19,1.09,0,1.09,2.19,0,10.93,0,0,0,37.16,0,1.09,7.65,0,0,7.65,0,0,0,0,2.19,0,0,2.19,0,0
108-118,0,0,0,0.77,0.77,0.77,10.72,0,0,0.77,3.83,0.77,1.53,0.77,0.77,0.77,6.13,0,0,0.77,20.68,0,0.77,4.6,0,0.77,3.83,0,0,0,0,0.77,0,0,1.53,0,0
120,0,0,0,1.96,0,0,9.8,0,0,0,1.96,0,1.96,0,0,0,5.88,0,0,3.92,21.56,0,3.92,1.96,0,0,9.8,0,0,0,0,0,0,0,3.92,0,0
