stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,1,1,5,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,4.1,0,0,9.85,0,0,0,0,0.82,0,0,2.46,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0.81,0,0.81,14.5,0.81,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,3.44,0,2.3,0.57,0.57,2.3,0,0,4.59,0.57,0,0,0,0,0,0,3.44,0,0.57,0
 60-70,0,0.98,0,6.87,0,2.94,0,0,1.96,0,0,15.7,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,4.91,0.98,2.94,0,0,4.91,0,0.98,9.82,0,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,4.25,0,1.06,0,0,2.12,1.06,2.12,6.37,0,1.06,0,0,0,0,0,2.12,0,0,2.12
 96-106,0,0,0,5.46,0,2.19,0,0,3.28,0,0,8.74,0,0,1.09,1.09,0,0,0,0,0,1.09,0
108-118,0,0.77,0.77,0.77,0,0.77,0,0,6.13,0,0,7.66,0,0,0,0,0,0,0,0,0.77,0,0.77
120,0,1.96,0,1.96,0,3.92,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
