stage,endocrine_pancreas,endoderm,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pgc,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
 24-34,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,18.06,0.82,0,0,8.21
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,15.31,0.81,0,0.81,4.83
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0.57,0,16.64,0,0,0,4.59
 60-70,0,0,0,0,3.93,0,0,0,0.98,0,0.98,0,20.61,0,0,0,1.96
 72-82,0,0,0,0,1.96,0,0,0,0,0,1.96,0,8.83,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,2.12,0,0,0,1.06,0,4.25,0,0,0,0
 96-106,0,0,1.09,1.09,2.19,1.09,0,1.09,1.09,0,1.09,1.09,5.46,0,0,0,0
108-118,0,0,0,0,1.53,0,0.77,0,0,0,0,0,3.83,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
