stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,21.03,0,0,34.17,0,0,0,5.26,0,0,0,0,0,0,0,0,286.53,15.77,0,0,141.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,18.88,0,3.15,50.35,0,0,0,9.44,0,0,0,0,0,0,0,0,478.34,15.73,0,0,169.94,0,0,0,18.88,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0,0,0,1.64,0,0,0,9.85,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,24.98,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0,0.57,0,5.74,0,1.15,0,0,0,0,0,0,2.3,0,0,0.57,25.82,0,0,0,0,1.15,0.57,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0,0,0,10.8,0,0.98,0.98,0,0,0,0,0,3.93,0,0.98,0,65.76,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0.98
 72-82,0,0,0,0,2.94,0.98,13.74,0.98,4.91,0,0,0.98,0,0,0,6.87,0.98,0,0,75.59,0,0.98,0.98,0,2.94,0,0,0,0,10.8,0,0,0.98,0
 84-94,0,0,0,0,2.12,3.19,23.36,1.06,2.12,1.06,0,3.19,2.12,0,2.12,1.06,0,0,1.06,47.79,2.12,0,0,0,2.12,0,0,0,0,4.25,1.06,0,2.12,1.06
 96-106,0,0,0,0,3.28,2.19,13.11,0,5.46,1.09,0,4.37,0,1.09,0,4.37,1.09,1.09,2.19,51.36,0,1.09,0,0,9.84,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0.77,0.77,3.83,1.53,9.96,0,6.89,0,0,3.83,1.53,0,1.53,3.83,0,0,0,49.79,0,0.77,0,0,8.43,0,0,0.77,0,2.3,0,2.3,0,0
120,0,0,0,0,5.88,1.96,5.88,0,3.92,0,0,3.92,0,0,0,3.92,0,0,0,54.87,0,0,1.96,0,15.68,0,0,1.96,0,3.92,0,0,1.96,3.92
