stage,axial,blastomeres,endoderm,eye,glial,gut,mesenchyme,neural,paraxial_mesoderm,pronephros,spinal_cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,24.52,91.94,0,0,0,0,0,0,6.13,0,0
  7-9,2.63,5.26,5.26,5.26,0,0,0,68.35,47.32,0,0
 10-12,0,0,0,0,0,0,0,15.73,9.44,3.15,0
 14-21,0,0,0,0,1,1,0,3,0,0,1
 24-34,0,0,0,0.82,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,1.61,0,0,1.61,0.81,0,0,0.81
 48-58,0,0,0,1.72,0,0,0.57,3.44,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0
