stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,0,0,0,0,42,0,0,0,0,0,0,0,1,0,2,38,0,2,7,2,0,0,14,0,100,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,0.82,0,0,0,37.76,0,0,0,0,0.82,0,0,4.1,0,1.64,44.33,0,5.75,0,0,0,0,2.46,1.64,96.04,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,3.22,0.81,0,0,15.31,0,0,0,0,0,0,0,2.42,0,2.42,39.48,0.81,8.06,0.81,0,0,0,0,0,67.68,0,2.42,0,0
 48-58,0,0,0,0,0,0,6.31,0,0,0,26.97,0,0,0,0.57,1.15,0.57,0,3.44,0,0.57,30.41,0,5.16,2.3,0,0,0,0.57,0,45.9,0,0,0,0
 60-70,0,0,0,0,1.96,0,10.8,0,0,0.98,37.3,0,0,0,0,0,0,0,8.83,0,0,40.24,0,7.85,1.96,0,0,0,0.98,0,25.52,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,20.61,0,0,0,40.25,0,0.98,0.98,0,0.98,0,0,9.82,0.98,0,40.25,0.98,13.74,2.94,0,0,0,0,0,9.82,2.94,0,2.94,0
 84-94,0,0,2.12,0,1.06,0,13.81,0,0,0,27.61,0,1.06,0,1.06,3.19,0,0,9.56,0,1.06,26.55,1.06,6.37,4.25,0,1.06,0,1.06,0,14.87,0,2.12,0,1.06
 96-106,0,0,2.19,0,1.09,0,10.93,0,1.09,0,37.16,0,0,1.09,0,4.37,0,1.09,9.84,1.09,1.09,19.67,0,6.56,8.74,0,2.19,1.09,0,0,7.65,1.09,0,2.19,0
108-118,0,0,2.3,0,3.06,0.77,4.6,0,0,0,32.94,2.3,1.53,0,0,3.06,0,0,7.66,1.53,0,22.98,0,5.36,7.66,0,0.77,0,1.53,0,4.6,0,0,0.77,0.77
120,0,0,0,1.96,3.92,0,7.84,0,0,0,23.52,0,0,0,3.92,7.84,0,0,5.88,1.96,0,9.8,0,5.88,5.88,0,0,0,0,0,7.84,0,0,0,0
