stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,521.02,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,21.03,0,57.83,0,0,57.83,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,460.02,42.06,0,0,354.88,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,28.32,0,12.59,0,6.29,75.53,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,676.6,40.91,0,0,343.02,0,0,3.15,6.29,37.76,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,14,12,7,0,0,0,17,1,0,2,0,0,0,0,0,0,17,0,0,6,133,1,2,4,6,0,0,1,18,14,0,11,89,0,0,0,0,0
 24-34,0,0,0,1.64,9.03,1.64,27.09,0,0,1.64,18.88,0,0,0.82,0,0,0,0,0.82,0,37.76,0,0,13.13,280.73,3.28,8.21,3.28,0,0,0,0,0.82,5.75,0,2.46,87.01,0,0,12.31,0,0
 36-46,0,0,0.81,0,3.22,0.81,147.44,0,0,2.42,21.75,0.81,0,0.81,0,0.81,0,1.61,0,1.61,57.2,0,0.81,15.31,333.55,2.42,21.75,2.42,0,0,2.42,0,0,1.61,0,0,113.6,0,0,6.45,0,1.61
 48-58,0,0,0,0,3.44,0,185.34,0,0.57,1.72,30.41,0,0,0,1.15,0,0,1.72,0.57,0.57,75.74,0,0.57,12.05,226.08,0.57,14.92,2.87,0,0,0.57,0,0,0.57,0,0,75.17,0,1.15,4.59,0,1.15
 60-70,0,0,0.98,0,7.85,0,312.12,0,0.98,0.98,52.02,0.98,0,0,2.94,0.98,0,0.98,0.98,0,102.08,0,5.89,5.89,265.99,0,14.72,5.89,0,0,0,0,0,0.98,0,0,42.21,0,0.98,6.87,0,1.96
 72-82,0,0,2.94,0,10.8,0.98,141.36,0.98,0,1.96,49.08,1.96,0,4.91,0.98,0.98,0,2.94,0,0,113.87,0.98,2.94,5.89,142.34,0,28.47,5.89,0,0.98,0,0,0,2.94,0,0,21.6,0,1.96,9.82,0,0.98
 84-94,0,0,0,0,8.5,2.12,117.89,0,2.12,3.19,28.68,3.19,0,1.06,3.19,1.06,0,2.12,0,2.12,73.28,0,4.25,9.56,78.59,1.06,14.87,12.74,0,0,2.12,0,0,3.19,2.12,0,11.68,0,3.19,3.19,2.12,0
 96-106,0,0,3.28,0,2.19,3.28,63.39,0,3.28,5.46,25.14,5.46,0,1.09,5.46,3.28,2.19,3.28,0,1.09,60.11,1.09,4.37,4.37,69.94,0,31.69,17.49,0,1.09,2.19,0,0,4.37,0,0,9.84,0,2.19,8.74,4.37,0
108-118,0,0,0,0,6.13,1.53,58.98,0,0.77,1.53,19.15,1.53,0,1.53,1.53,1.53,0.77,5.36,0.77,0,43.66,0,1.53,6.13,72.77,0,17.62,6.13,0,0,0.77,0,0,2.3,0,0,1.53,0.77,1.53,8.43,2.3,2.3
120,0,0,0,0,17.64,3.92,50.95,0,0,0,23.52,1.96,0,0,0,0,0,3.92,0,0,33.32,0,0,5.88,99.95,0,9.8,11.76,0,0,1.96,0,0,1.96,0,0,5.88,0,1.96,1.96,1.96,0
