stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,12,0,0,0,5,1,1,0,0,0,0,0,0,6,0,0,2,80,0,2,1,2,1,12,1,2,24,27,0,0,0,0
 24-34,0,0.82,0,4.93,0,0,22.98,0,0,0.82,0.82,0,0,0,0,0.82,0,0.82,0.82,10.67,0,0,2.46,102.61,0,4.1,2.46,0,12.31,0,0,0,14.78,34.48,0,0,0.82,0
 36-46,0,0,0,2.42,0,0,29.81,0.81,0,1.61,2.42,0,0,0,0,0.81,0,0,0.81,9.67,0,0.81,3.22,81.37,0,7.25,3.22,0,8.06,0,0,0,0.81,33.84,0,0,0,0
 48-58,0,0,0,1.72,0,0,16.07,0.57,0,0,1.72,0.57,0,0.57,0,0.57,0,0,0,4.02,0,0,0.57,34.43,0,2.87,0,0,4.59,0,0,1.15,0,5.16,0,0,0,0
 60-70,0,0,0,2.94,0,0,37.3,2.94,0.98,1.96,4.91,1.96,0,0,0,0.98,0,0,0.98,12.76,0,0,1.96,27.48,0.98,3.93,1.96,0,9.82,0,1.96,0.98,0,3.93,0,0,0,0
 72-82,0,0,0,5.89,0.98,0,26.5,0,0,1.96,8.83,3.93,0.98,0.98,0,0,0.98,0.98,0,12.76,0.98,0.98,1.96,34.36,0,17.67,0.98,0,6.87,0,0,0,0,6.87,0,0.98,0,0.98
 84-94,0,0,0,6.37,1.06,1.06,10.62,0,0,0,3.19,3.19,1.06,0,0,1.06,0,0,2.12,13.81,0,0,2.12,14.87,0,2.12,2.12,0,33.99,0,0,0,0,2.12,0,0,0,0
 96-106,0,2.19,0,9.84,1.09,0,13.11,0,0,2.19,4.37,4.37,0,0,1.09,1.09,0,0,1.09,15.3,2.19,0,8.74,22.95,1.09,20.76,4.37,0,31.69,0,1.09,0,0,2.19,0,0,3.28,0
108-118,0,1.53,0,3.06,0,0,13.79,0,0.77,2.3,6.13,5.36,0,0,0.77,2.3,0,2.3,1.53,9.96,0,0,8.43,22.98,1.53,8.43,4.6,0,23.74,0,0,0,0,3.83,1.53,0,2.3,0
120,0,0,0,11.76,1.96,0,3.92,0,1.96,0,3.92,5.88,0,0,0,1.96,0,0,1.96,9.8,0,0,11.76,29.4,0,5.88,1.96,0,39.2,0,0,0,0,1.96,0,1.96,1.96,0
