stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
 24-34,0,0,0.82,0,13.13,0.82,0.82,0,0,0,0.82,3.28,0,0,0,0,0,0,1.64,13.13,0,1.64,1.64,0,0,0.82,0,0,2.46,0.82,0,0,0.82,0
 36-46,0,0.81,0.81,0,20.95,0,0,2.42,0,0,0,0.81,0,0,0,3.22,0,0,1.61,19.34,0,0.81,0,0,0,6.45,0,0,0,0.81,0,0,1.61,0
 48-58,0,1.15,0,0,19.51,0,0,1.72,0,0,0.57,0,0,0,0,5.16,0,0,0,16.64,0,1.72,1.15,0,0,2.3,0,0,0,1.72,0,0,1.15,0
 60-70,0.98,0,0.98,0,63.8,0,0,4.91,0.98,1.96,0,0,0.98,0.98,0.98,7.85,0.98,0,0,31.41,0,0.98,0,0,0,5.89,0.98,0,0,1.96,0,0,0.98,0
 72-82,1.96,1.96,0.98,0,106.02,0,0,11.78,0.98,0,0.98,0.98,0,2.94,0,12.76,1.96,0.98,0,38.28,0,2.94,3.93,0,0.98,0.98,0,0,0,1.96,0,0,4.91,0
 84-94,2.12,2.12,1.06,1.06,76.47,0,0,10.62,5.31,0,0,4.25,3.19,3.19,0,9.56,0,0,0,18.05,0,4.25,1.06,0,1.06,9.56,0,0,0,1.06,0,2.12,6.37,0
 96-106,5.46,3.28,0,0,62.29,1.09,2.19,9.84,6.56,0,0,6.56,0,3.28,1.09,10.93,1.09,0,0,25.14,0,0,1.09,0,1.09,8.74,0,0,0,2.19,1.09,1.09,4.37,2.19
108-118,0.77,5.36,0,0.77,67.4,0,0.77,12.26,1.53,0,0,6.13,0.77,2.3,0.77,10.72,0.77,1.53,0.77,21.45,0,3.06,2.3,0,0.77,3.83,0.77,0.77,0,1.53,0.77,2.3,6.13,1.53
120,5.88,9.8,0,0,58.79,0,0,5.88,1.96,0,0,1.96,0,1.96,0,11.76,0,1.96,1.96,21.56,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,3.92,1.96
