stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,3,3,1,0
 24-34,0,0.82,6.57,0,0,10.67,0,0.82,0,0.82,0,0,0,0,0,0,0.82,8.21,0.82,0.82,2.46,41.04,2.46,0.82,0,0,13.95,0,0.82,0,0,12.31,2.46,0
 36-46,0,0,0.81,0,0,8.06,0.81,2.42,0,0,0,0,0.81,0,0,0,0.81,4.83,0,0,2.42,24.98,1.61,1.61,0,0,17.72,0,0,0.81,0,4.83,0.81,0
 48-58,0,0,1.15,0,0,4.59,1.72,0,0,1.15,0,0,0.57,0,0,0.57,0,2.87,0,0,0.57,18.36,0,0,0.57,0,6.89,0,0,0,0,4.02,0.57,0
 60-70,0,0,3.93,0.98,0,9.82,0.98,1.96,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,16.69,0.98,0,0.98,0,21.59,0,0,0,0,2.94,0.98,0.98
 72-82,0,0.98,0.98,3.93,0,5.89,0,0,0.98,0.98,0,0,0.98,0,0,0,0.98,2.94,0,0,0,13.74,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0.98
 84-94,0,0,2.12,1.06,0,2.12,0,1.06,1.06,1.06,0,0,1.06,0,0,0,0,2.12,0,0,0,4.25,0,0,1.06,0,14.87,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,2.19,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,1.09,0,8.74,0,1.09,0,0,1.09,1.09,0
108-118,0,0,2.3,0.77,3.06,2.3,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0,5.36,0,0,0,0,12.26,0,0.77,0,0,0,0,0.77
120,1.96,0,5.88,0,1.96,5.88,1.96,1.96,0,3.92,0,1.96,0,0,1.96,0,0,7.84,0,0,0,9.8,0,0,0,1.96,15.68,0,1.96,0,0,0,1.96,0
