stage,epidermis,erythrocytes,eye,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,spinal_cord,vascular_smooth_muscle,xanthophores
 14-21,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0,0,5.75,0,0.82,1.64,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,16.11,0,0.81,4.03,0,0
 48-58,0,0,1.15,0.57,0,0,0,0,0,0,0,14.35,0,0,1.72,0,0.57
 60-70,0,0,3.93,0.98,0,0,0.98,0,0,0,0,17.67,0.98,0.98,2.94,0,0
 72-82,0,0,11.78,0,0,0.98,0,0,0,0.98,0.98,34.36,0.98,0,3.93,0,0
 84-94,1.06,0,4.25,1.06,0,0,0,0,1.06,0,0,7.43,0,0,0,1.06,0
 96-106,0,0,6.56,0,0,0,0,1.09,0,0,1.09,2.19,1.09,0,0,0,0
108-118,0.77,0,1.53,0.77,0,0,0,0,0.77,0,0.77,4.6,0,0,0.77,0,0
120,0,0,3.92,0,0,0,0,0,0,0,0,17.64,3.92,0,0,0,0
