stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,taste,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,4.59,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0.98,0,105.02,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0.98,0.98,238.54,0.98,0.98,0.98,0,1.96,0,0,0,0.98
 84-94,0,0,1.06,0,207.1,0,0,1.06,0,3.19,0,0,1.06,0
 96-106,0,0,0,0,155.18,0,0,0,0,4.37,0,0,0,0
108-118,0,0,0,0.77,100.34,0,0,0,0,3.06,0,0,0,0
120,0,0,0,0,80.35,0,0,0,0,1.96,0,0,0,0
