stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,70.98,0,0,13.14,0,0,5.26,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,9.44,0,40.91,0,3.15,3.15,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,1,1,1,0
 24-34,0,0,0,0,2.46,0,1.64,0,0,0,0,0,0,0,0,0,1.64,0.82,7.39,0.82,0,0,0,0.82,0,0,2.46,1.64,0.82
 36-46,0,0,0,0,0,0,4.03,0,0,0.81,0,0,0,0,0,0,4.03,0,8.06,0,0,0,0,0,0,0,0,4.03,0.81
 48-58,0,0,0,0,0,0,3.44,0,0.57,1.15,0,0,0,0.57,0,0,3.44,0.57,5.16,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0.98,0,0,3.93,0,5.89,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,1.96,0,0.98,0.98,0.98,0,0.98,0,0,0.98,3.93,1.96,7.85,0.98,0,0,0.98,0.98,0,0,0,0.98,1.96
 84-94,0,0,0,0,0,0,3.19,0,0,4.25,0,0,1.06,0,0,0,4.25,1.06,10.62,0,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,2.19,0,0,4.37,0,0,1.09,0,1.09,0,2.19,0,6.56,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0.77,2.3,0,0,3.06,0,0,0.77,0,0,0,1.53,0,9.96,0,0,0,0,0.77,0,0,0,0.77,0.77
120,0,0,0,0,3.92,0,3.92,0,0,3.92,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,1.96,0
