stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,8,0,0,0,1,0,136,4,0,0,1,2,0,0,0,0
 24-34,0,0,0.82,4.1,0.82,3.28,0,0,0.82,0,0,0,0,2.46,0,0.82,0,0,4.1,0,0,4.1,20.52,0.82,0.82,0,0,0,192.08,0,0,0,0,6.57,0,0.82,0,0
 36-46,0,0,0,4.83,0,2.42,0.81,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,27.39,0.81,0.81,0,0,0,155.49,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,2.87,0,2.3,0.57,0,0.57,0,0,0,0,0.57,0,0.57,0,0,5.16,0,0,1.72,14.92,0,0.57,0,0,0,102.14,0,0,0,0,1.15,0,1.15,0,0
 60-70,0,0,0,4.91,0,1.96,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0,0,5.89,0.98,0,0,0,0,102.08,0,0,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,0,11.78,0,4.91,2.94,1.96,2.94,0.98,0,0.98,0.98,1.96,0,0,0,0,5.89,1.96,0,0,23.56,0,3.93,0.98,0,0,147.25,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,18.05,2.12,2.12,8.5,0,3.19,1.06,0,0,1.06,4.25,0,0,0,1.06,6.37,3.19,1.06,2.12,10.62,0,2.12,0,0,0,390.83,0,0,1.06,0,3.19,1.06,1.06,0,1.06
 96-106,0,0,0,52.46,2.19,7.65,7.65,1.09,8.74,3.28,0,1.09,2.19,5.46,1.09,0,1.09,0,9.84,2.19,0,0,34.97,0,3.28,0,0,0,319.11,0,0,1.09,0,1.09,0,5.46,1.09,2.19
108-118,0,0,0,32.94,0,3.83,12.26,0,3.83,2.3,0,0,2.3,7.66,0.77,0,0,0.77,6.13,0.77,0.77,0.77,17.62,0,2.3,0.77,0,0.77,265.79,0,0,0,0,3.06,0,0,0,0.77
120,0,0,0,17.64,1.96,1.96,5.88,0,3.92,5.88,0,0,1.96,1.96,0,0,0,0,5.88,0,1.96,0,9.8,1.96,1.96,0,0,0,162.66,0,3.92,0,0,0,0,0,0,3.92
