stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,15,0,0,0,0,0,3,0,9,0,2,0,0,0,0,0
 24-34,0,0.82,13.13,0,0,3.28,0,7.39,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0,31.19,0.82,0,0,0,0,30.37,0,13.95,0,5.75,0,0,1.64,0,0.82
 36-46,0,0,16.92,0,0,4.03,0.81,5.64,0,1.61,0.81,0,0,0,0,1.61,0,4.03,0,0,1.61,23.36,0.81,0,0,0,0,30.62,0,0,0,4.83,0,0,0,0,1.61
 48-58,0,0,20.66,0,0,10.33,0,9.18,3.44,9.18,0,0,0,0,0,0.57,0,15.49,0.57,0,2.87,20.08,2.3,0,0.57,0,0,32.71,0,1.15,0,5.16,0,0,0,0,4.02
 60-70,0,0,38.28,0,0,32.39,0,2.94,8.83,6.87,0,0,0,0,1.96,0,0.98,42.21,0,0.98,3.93,15.7,2.94,0,0,0,0,59.87,0,0,0,1.96,0,0.98,0.98,0,3.93
 72-82,0,0,45.16,1.96,0,40.25,1.96,7.85,8.83,28.47,0,0,0.98,0.98,0,0,0,106.02,1.96,0,10.8,25.52,5.89,0,0.98,0,0,58.9,0,5.89,0,3.93,0.98,0,0.98,0,1.96
 84-94,0,0,106.2,1.06,0,75.4,1.06,31.86,7.43,20.18,0,0,0,6.37,2.12,0,0,65.85,0,2.12,5.31,21.24,10.62,0,0,0,1.06,187.98,0,7.43,0,0,0,3.19,1.06,1.06,3.19
 96-106,0,0,73.22,1.09,1.09,68.85,3.28,22.95,10.93,22.95,2.19,0,0,4.37,0,1.09,1.09,89.61,1.09,3.28,12.02,22.95,7.65,0,2.19,1.09,0,93.98,0,12.02,1.09,0,1.09,2.19,0,3.28,9.84
108-118,0,0.77,94.21,0,0.77,91.92,0.77,33.7,7.66,20.68,1.53,0,0,3.83,1.53,2.3,1.53,69.7,2.3,3.06,11.49,26.04,9.19,0.77,0,0,0.77,64.34,0.77,22.21,0,2.3,0.77,1.53,0,1.53,10.72
120,0,0,82.31,0,0,56.83,0,27.44,9.8,21.56,0,0,1.96,5.88,0,7.84,0,50.95,3.92,3.92,3.92,25.48,11.76,0,3.92,0,1.96,70.55,0,15.68,0,3.92,0,0,0,3.92,7.84
